"species","dist_avail"
"Prunus_serrulata",TRUE
"Prunus_tenella",TRUE
"Ptelea_trifoliata",TRUE
"Pyrus_elaeagnifolia",FALSE
"Pyrus_ussuriensis",TRUE
"Quercus_alba",TRUE
"Quercus_bicolor",TRUE
"Quercus_coccifera",TRUE
"Quercus_ellipsoidalis",TRUE
"Quercus_faginea",TRUE
"Quercus_ilex",TRUE
"Quercus_petraea",TRUE
"Quercus_pubescens",TRUE
"Quercus_robur",TRUE
"Quercus_rubra",TRUE
"Quercus_shumardii",TRUE
"Quercus_velutina",TRUE
"Rhamnus_alpina",TRUE
"Rhamnus_cathartica",TRUE
"Rhamnus_frangula",FALSE
"Rhododendron_canadense",TRUE
"Rhododendron_dauricum",TRUE
"Rhododendron_mucronulatum",TRUE
"Rhododendron_prinophyllum",TRUE
"Ribes_alpinum",TRUE
"Ribes_divaricatum",TRUE
"Ribes_glaciale",FALSE
"Robinia_pseudoacacia",TRUE
"Rosa_hugonis",FALSE
"Rosa_majalis",FALSE
"Salix_gracilistyla",TRUE
"Salix_repens",TRUE
"Salix_smithiana",FALSE
"Sambucus_pubens",FALSE
"Sambucus_tigranii",FALSE
"Sinowilsonia_henryi",FALSE
"Sorbus_aria",FALSE
"Sorbus_aucuparia",TRUE
"Sorbus_commixta",TRUE
"Sorbus_decora",TRUE
"Sorbus_torminalis",FALSE
"Spiraea_canescens",FALSE
"Spiraea_chamaedryfolia",TRUE
"Spiraea_japonica",TRUE
"Spirea_alba",FALSE
"Stachyurus_praecox",TRUE
"Stachyurus_sinensis",FALSE
"Symphoricarpos_albus",TRUE
"Syringa_josikaea",TRUE
"Syringa_reticulata",TRUE
"Syringa_villosa",FALSE
"Syringa_vulgaris",TRUE
"Tilia_cordata",TRUE
"Tilia_dasystyla",TRUE
"Tilia_japonica",FALSE
"Tilia_platyphyllos",TRUE
"Toona_sinensis",TRUE
"Ulmus_americana",TRUE
"Ulmus_glabra",TRUE
"Ulmus_laevis",TRUE
"Ulmus_macrocarpa",TRUE
"Ulmus_minor",TRUE
"Ulmus_parvifolia",TRUE
"Ulmus_pumila",TRUE
"Ulmus_villosa",FALSE
"Vaccinium_myrtilloides",TRUE
"Viburnum_betulifolium",TRUE
"Viburnum_buddleifolium",FALSE
"Viburnum_carlesii",TRUE
"Viburnum_cassinoides",TRUE
"Viburnum_lantanoides",TRUE
"Viburnum_opulus",TRUE
"Viburnum_plicatum",TRUE
"Weigela_coraeensis",FALSE
"Weigela_florida",TRUE
"Weigela_maximowiczii",FALSE
