"species","dist_avail"
"Rhamnus_alpina",FALSE
"Rhamnus_frangula",FALSE
"Salix_gracilistyla",TRUE
"Salix_smithiana",FALSE
"Salix_repens",FALSE
"Sambucus_tigranii",TRUE
"Sambucus_pubens",FALSE
"Sorbus_aucuparia",TRUE
"Sorbus_torminalis",FALSE
"Sorbus_aria",FALSE
"Sorbus_decora",FALSE
"Sorbus_commixta",FALSE
"Spirea_alba",FALSE
"Stachyurus_praecox",FALSE
"Stachyurus_sinensis",FALSE
