"'87.45117188","'75.34179688","'82.76367188","'86.66992188","'86.08398438","'69.62890625","'73.09570313","'87.35351563","'85.74218750","'84.47265625","'90.18554688","'89.40429688","'87.84179688","'87.74414063","'84.66796875",
"'89.16015625","'76.80664063","'84.42382813","'88.33007813","'87.74414063","'70.99609375","'74.51171875","'89.06250000","'87.45117188","'86.13281250","'91.99218750","'91.16210938","'89.55078125","'89.45312500","'86.32812500",
"'87.98828125","'75.78125000","'83.25195313","'87.15820313","'86.57226563","'70.01953125","'73.53515625","'87.89062500","'86.23046875","'84.96093750","'90.72265625","'89.94140625","'88.33007813","'88.23242188","'85.15625000",
"'83.39843750","'71.82617188","'78.90625000","'82.61718750","'82.08007813","'66.40625000","'69.67773438","'83.30078125","'81.73828125","'80.56640625","'85.98632813","'85.25390625","'83.74023438","'83.64257813","'80.71289063",
"'89.40429688","'77.00195313","'84.61914063","'88.57421875","'87.98828125","'71.19140625","'74.70703125","'89.30664063","'87.64648438","'86.37695313","'92.23632813","'91.40625000","'89.79492188","'89.69726563","'86.57226563",
"'89.11132813","'76.80664063","'84.37500000","'88.28125000","'87.69531250","'70.94726563","'74.51171875","'89.01367188","'87.40234375","'86.08398438","'91.94335938","'91.11328125","'89.50195313","'89.40429688","'86.27929688",
"'88.08593750","'75.87890625","'83.34960938","'87.25585938","'86.66992188","'70.11718750","'73.58398438","'87.98828125","'86.32812500","'85.05859375","'90.82031250","'89.99023438","'88.42773438","'88.33007813","'85.25390625",
"'79.88281250","'68.79882813","'75.58593750","'79.15039063","'78.61328125","'63.57421875","'66.74804688","'79.78515625","'78.32031250","'77.14843750","'82.37304688","'81.64062500","'80.17578125","'80.12695313","'77.29492188",
"'86.03515625","'74.12109375","'81.39648438","'85.25390625","'84.66796875","'68.50585938","'71.87500000","'85.93750000","'84.32617188","'83.10546875","'88.72070313","'87.93945313","'86.37695313","'86.27929688","'83.30078125",
"'88.47656250","'76.22070313","'83.74023438","'87.64648438","'87.06054688","'70.45898438","'73.92578125","'88.37890625","'86.76757813","'85.49804688","'91.25976563","'90.42968750","'88.86718750","'88.76953125","'85.64453125",
"'89.11132813","'76.80664063","'84.37500000","'88.28125000","'87.69531250","'70.94726563","'74.51171875","'89.01367188","'87.40234375","'86.08398438","'91.94335938","'91.11328125","'89.50195313","'89.40429688","'86.27929688",
"'87.64648438","'75.48828125","'82.95898438","'86.81640625","'86.23046875","'69.77539063","'73.24218750","'87.54882813","'85.93750000","'84.66796875","'90.38085938","'89.59960938","'87.98828125","'87.93945313","'84.86328125",
"'88.91601563","'76.56250000","'84.13085938","'88.08593750","'87.50000000","'70.75195313","'74.31640625","'88.81835938","'87.15820313","'85.88867188","'91.69921875","'90.86914063","'89.25781250","'89.16015625","'86.03515625",
"'86.03515625","'74.12109375","'81.39648438","'85.25390625","'84.66796875","'68.50585938","'71.87500000","'85.93750000","'84.32617188","'83.10546875","'88.72070313","'87.93945313","'86.37695313","'86.27929688","'83.30078125",
"'88.13476563","'75.92773438","'83.44726563","'87.35351563","'86.76757813","'70.16601563","'73.68164063","'88.08593750","'86.42578125","'85.15625000","'90.91796875","'90.08789063","'88.52539063","'88.42773438","'85.35156250",
"'80.81054688","'69.58007813","'76.46484375","'80.02929688","'79.49218750","'64.30664063","'67.52929688","'80.71289063","'79.19921875","'78.02734375","'83.34960938","'82.56835938","'81.10351563","'81.05468750","'78.22265625",
"'45.55664063","'39.25781250","'43.11523438","'45.14160156","'44.82421875","'36.27929688","'38.08593750","'45.50781250","'44.67773438","'44.01855469","'46.99707031","'46.55761719","'45.75195313","'45.70312500","'44.11621094",
