"'88.28125000","'89.06250000","'87.59765625","'90.38085938","'91.40625000","'89.55078125","'87.59765625","'90.33203125","'89.69726563","'87.84179688","'86.27929688",
"'90.82031250","'91.60156250","'90.08789063","'92.96875000","'93.99414063","'92.08984375","'90.08789063","'92.91992188","'92.23632813","'90.33203125","'88.72070313",
"'83.69140625","'84.42382813","'83.05664063","'85.64453125","'86.62109375","'84.86328125","'83.05664063","'85.59570313","'85.00976563","'83.25195313","'81.78710938",
"'90.38085938","'91.21093750","'89.69726563","'92.52929688","'93.55468750","'91.69921875","'89.69726563","'92.48046875","'91.79687500","'89.94140625","'88.33007813",
"'44.65332031","'90.67382813","'89.16015625","'91.94335938","'93.01757813","'91.11328125","'89.16015625","'91.89453125","'91.25976563","'89.40429688","'87.79296875",
"'44.65332031","'77.88085938","'76.61132813","'79.00390625","'79.93164063","'78.27148438","'76.61132813","'79.00390625","'78.41796875","'76.80664063","'75.43945313",
"'87.89062500","'88.67187500","'87.20703125","'89.94140625","'90.96679688","'89.11132813","'87.20703125","'89.89257813","'89.25781250","'87.45117188","'85.88867188",
"'89.11132813","'89.89257813","'88.42773438","'91.21093750","'92.23632813","'90.38085938","'88.42773438","'91.16210938","'90.52734375","'88.67187500","'87.06054688",
"'88.08593750","'88.86718750","'87.40234375","'90.13671875","'91.16210938","'89.30664063","'87.40234375","'90.08789063","'89.45312500","'87.59765625","'86.03515625",
"'87.45117188","'88.23242188","'86.76757813","'89.50195313","'90.47851563","'88.67187500","'86.76757813","'89.45312500","'88.81835938","'86.96289063","'85.40039063",
"'85.15625000","'85.88867188","'84.47265625","'87.15820313","'88.13476563","'86.32812500","'84.47265625","'87.10937500","'86.47460938","'84.71679688","'83.20312500",
"'52.53906250","'91.01562500","'89.50195313","'92.33398438","'93.35937500","'91.50390625","'89.50195313","'92.28515625","'91.65039063","'89.74609375","'88.13476563",
"'52.53906250","'74.41406250","'73.19335938","'75.53710938","'76.36718750","'74.80468750","'73.19335938","'75.48828125","'74.95117188","'73.38867188","'72.07031250",
"'88.67187500","'89.45312500","'87.98828125","'90.77148438","'91.74804688","'89.89257813","'87.98828125","'90.72265625","'90.03906250","'88.18359375","'86.62109375",
"'88.42773438","'89.20898438","'87.74414063","'90.52734375","'91.55273438","'89.69726563","'87.74414063","'90.47851563","'89.84375000","'87.98828125","'86.42578125",
"'87.45117188","'88.23242188","'86.76757813","'89.50195313","'90.47851563","'88.67187500","'86.76757813","'89.45312500","'88.81835938","'86.96289063","'85.40039063",
"'89.16015625","'89.94140625","'88.47656250","'91.25976563","'92.28515625","'90.42968750","'88.47656250","'91.21093750","'90.57617188","'88.72070313","'87.10937500",
"'85.83984375","'86.62109375","'85.15625000","'87.84179688","'88.81835938","'87.06054688","'85.15625000","'87.79296875","'87.15820313","'85.40039063","'83.88671875",
"'85.40039063","'86.18164063","'84.76562500","'87.45117188","'88.42773438","'86.62109375","'84.76562500","'87.40234375","'86.76757813","'84.96093750","'83.44726563",
"'86.81640625","'87.59765625","'86.18164063","'88.86718750","'89.89257813","'88.08593750","'86.18164063","'88.81835938","'88.18359375","'86.37695313","'84.86328125",
"'88.23242188","'89.01367188","'87.50000000","'90.28320313","'91.30859375","'89.45312500","'87.50000000","'90.23437500","'89.59960938","'87.74414063","'86.18164063",
"'84.61914063","'85.35156250","'83.93554688","'86.57226563","'87.54882813","'85.79101563","'83.93554688","'86.52343750","'85.93750000","'84.17968750","'82.66601563",
"'89.55078125","'90.33203125","'88.81835938","'91.65039063","'92.67578125","'90.82031250","'88.81835938","'91.60156250","'90.91796875","'89.06250000","'87.50000000",
"'78.17382813","'78.85742188","'77.53906250","'79.98046875","'80.90820313","'79.24804688","'77.53906250","'79.98046875","'79.39453125","'77.73437500","'76.36718750",
"'84.61914063","'85.35156250","'83.93554688","'86.57226563","'87.54882813","'85.79101563","'83.93554688","'86.52343750","'85.93750000","'84.17968750","'82.66601563",
"'77.68554688","'78.41796875","'77.09960938","'79.54101563","'80.41992188","'78.80859375","'77.09960938","'79.49218750","'78.90625000","'77.29492188","'75.92773438",
"'86.76757813","'87.50000000","'86.08398438","'88.76953125","'89.79492188","'87.98828125","'86.08398438","'88.72070313","'88.08593750","'86.27929688","'84.76562500",
"'86.42578125","'87.20703125","'85.74218750","'88.47656250","'89.45312500","'87.64648438","'85.74218750","'88.42773438","'87.79296875","'85.98632813","'84.42382813",
"'84.96093750","'85.74218750","'84.32617188","'86.96289063","'87.93945313","'86.18164063","'84.32617188","'86.91406250","'86.27929688","'84.52148438","'83.00781250",
"'86.23046875","'87.01171875","'85.54687500","'88.28125000","'89.25781250","'87.45117188","'85.54687500","'88.23242188","'87.59765625","'85.79101563","'84.27734375",
"'88.52539063","'89.30664063","'87.84179688","'90.62500000","'91.65039063","'89.79492188","'87.84179688","'90.57617188","'89.89257813","'88.08593750","'86.47460938",
"'86.96289063","'87.74414063","'86.27929688","'89.01367188","'90.03906250","'88.18359375","'86.27929688","'88.96484375","'88.33007813","'86.52343750","'84.96093750",
"'65.23437500","'65.82031250","'64.74609375","'66.79687500","'67.52929688","'66.16210938","'64.74609375","'66.74804688","'66.25976563","'64.89257813","'63.72070313",
"'87.01171875","'87.79296875","'86.32812500","'89.06250000","'90.08789063","'88.23242188","'86.32812500","'89.01367188","'88.37890625","'86.57226563","'85.00976563",
"'88.72070313","'89.50195313","'88.03710938","'90.82031250","'91.79687500","'89.94140625","'88.03710938","'90.77148438","'90.08789063","'88.23242188","'86.66992188",
"'70.55664063","'71.14257813","'69.97070313","'72.21679688","'72.99804688","'71.53320313","'69.97070313","'72.16796875","'71.63085938","'70.16601563","'68.89648438",
"'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563","'37.35351563",
