Family,Genus,Species,Pollination,Phen.sequence,flo_time,fruiting,imputed_resp,name,pro2,pol,pro3,min._precip,min_temp
Fagaceae,Quercus,bicolor,wind,syn,5.5,9.5,N,Quercus_bicolor,1,1,0,36,-28
Fagaceae,Quercus,macrocarpa,wind,syn,5.5,9.5,N,Quercus_macrocarpa,1,1,0,15,-38
Fagaceae,Quercus,alba,wind,syn,5.5,9.5,N,Quercus_alba,1,1,0,30,-43
Myricaceae,Comptonia,peregrina,wind,pro,4.5,7.5,N,Comptonia_peregrina,1,1,1,30,-38
Myricaceae,Myrica,gale,wind,pro,4.5,7.5,N,Myrica_gale,1,1,1,30,-33
Juglandaceae,Carya,lacinosa,wind,syn,5.5,10,N,Carya_laciniosa,1,1,0,30,-22
Juglandaceae,Carya,ovata,wind,syn,5.5,10,N,Carya_ovata,1,1,0,29,-40
Juglandaceae,Carya,cordiformis,wind,syn,5.5,10,N,Carya_cordiformis,1,1,0,25,-47
Juglandaceae,Carya,glabra,wind,syn,5.5,10,N,Carya_glabra,1,1,0,30,-30
Juglandaceae,Juglans,cinerea,wind,syn,5,10,N,Juglans_cinerea,1,1,0,25,-33
Juglandaceae,Juglans,nigra,wind,syn,5,10,N,Juglans_nigra,1,1,0,30,-28
Betulaceae,Alnus,viridis,wind,syn,5.5,9.5,N,Alnus_alnobetula,1,1,0,16,-48
Betulaceae,Alnus,incana,wind,pro,4,9,N,Alnus_incana,1,1,1,32,-33
Betulaceae,Alnus,glutinosa,wind,pro/syn,4,9.5,N,Alnus_glutinosa,1,1,0,20,-18
Betulaceae,Corylus,americana,wind,pro,3.5,8.5,N,Corylus_americana,1,1,1,32,-33
Betulaceae,Corylus,cornuta,wind,pro,4.5,8.5,N,Corylus_cornuta,1,1,1,20,-47
Betulaceae,Ostrya,virginiana,wind,syn,4.5,9,N,Ostrya_virginiana,1,1,0,18,-38
Betulaceae,Carpinus,caroliniana,wind,syn,4.5,6,N,Carpinus_caroliniana,1,1,0,23,-34
Betulaceae,Betula,alleghaniensis,wind,pro,4.5,8,N,Betula_alleghaniensis,1,1,1,25,-47
Betulaceae,Betula,nigra,wind,pro/syn,4,5.5,N,Betula_nigra,1,1,0,30,-31
Betulaceae,Betula,pumila,wind,pro/syn,5.5,8.5,Y,Betula_pumila,1,1,0,16,-38
Betulaceae,Betula,papyrifera,wind,pro/syn,4.5,8.5,N,Betula_papyrifera,1,1,0,12,-62
Betulaceae,Betula,pendula,wind,pro/syn,4,8.5,N,Betula_pendula,1,1,0,30,-33
Rhamnaceae,Frangula,alnus,insect,ser,6,7.5,N,Frangula_alnus,0,0,0,35,-38
Rhamnaceae,Rhamnus,alnifolia,insect,syn,5.5,8.5,N,Rhamnus_alnifolia,1,0,0,10,-33
Rhamnaceae,Ceanothus,americanus,insect,ser,7,9.5,Y,Ceanothus_americanus,0,0,0,25,-28
Elaeagnaceae,Elaeagnus,umbellata,insect,ser,6,8.5,Y,Elaeagnus_umbellata,0,0,0,28,-23
Elaeagnaceae,Shepherdia,canadensis,insect,pro,4.5,7.5,N,Shepherdia_canadensis,1,0,1,15,-63
Ulmaceae,Ulmus,thomasii,wind,pro,4.5,5,N,Ulmus_thomasii,1,1,1,22,-46
Ulmaceae,Ulmus,americana,wind,pro,3.5,5,N,Ulmus_americana,1,1,1,15,-46
Ulmaceae,Ulmus,rubra,wind,pro,3.5,5,N,Ulmus_rubra,1,1,1,21,-43
Ulmaceae,Ulmus,pumila,wind,pro,3.5,4,N,Ulmus_pumila,1,1,1,16,-38
Cannabaceae,Celtis,occidentalis,wind,syn/ser,5,9.5,N,Celtis_occidentalis,0,1,0,14,-47
Moraceae,Morus,alba,wind,syn,5.5,6.5,N,Morus_alba,1,1,0,30,-18
Moraceae,Morus,rubra,wind,syn,5.5,7,N,Morus_rubra,1,1,0,35,-33
Moraceae,Maclura,pomifera,wind,ser,5.5,9.5,N,Maclura_pomifera,0,1,0,24,-23
Rosaceae,Rubus,parviflorus,insect,ser,6.5,8.5,Y,Rubus_parviflorus,0,0,0,20,-28
Rosaceae,Rubus,occidentalis,insect,ser,5.5,7.5,Y,Rubus_occidentalis,0,0,0,24,-28
Rosaceae,Rubus,strigosis,insect,ser,5.5,7.5,Y,Rubus_idaeus,0,0,0,10,-62
Rosaceae,Rubus,allegheniensis,insect,ser,5.5,8,Y,Rubus_allegheniensis,0,0,0,30,-28
Rosaceae,Rubus,hispidus,insect,ser,6.5,8,Y,Rubus_hispidus,0,0,0,30,-38
Rosaceae,Rubus,flagellaris,insect,ser,5.5,7.5,Y,Rubus_flagellaris,0,0,0,15,-23
Rosaceae,Rosa,acicularis,insect,ser,6,8.5,Y,Rosa_acicularis,0,0,0,15,-38
Rosaceae,Rosa,palustris,insect,ser,6.5,8.5,Y,Rosa_palustris,0,0,0,35,-33
Rosaceae,Rosa,carolina,insect,ser,6.5,9,Y,Rosa_carolina,0,0,0,25,-43
Rosaceae,Spiraea,alba,insect,ser,7.5,9,Y,Spiraea_alba,0,0,0,18,-33
Rosaceae,Spiraea,tomentosa,insect,ser,7.5,9,Y,Spiraea_tomentosa,0,0,0,30,-33
Rosaceae,Prunus,nigra,insect,pro,4.5,8.5,N,Prunus_nigra,1,0,1,15,24
Rosaceae,Prunus,serotina,insect,syn,5.5,8.5,N,Prunus_serotina,1,0,0,21,-43
Rosaceae,Prunus,virginiana,insect,syn/ser,5.5,7.5,N,Prunus_virginiana,0,0,0,13,-43
Rosaceae,Prunus,pensylvanica,insect,syn,5.5,7.5,N,Prunus_pensylvanica,1,0,0,16,-38
Rosaceae,Prunus,pumila,insect,ser,5.5,8,Y,Prunus_pumila,0,0,0,15,-33
Rosaceae,Prunus,americana,insect,pro,4.5,8.5,N,Prunus_americana,1,0,1,16,-38
Rosaceae,Amelanchier,sanguinea,insect,ser,4.5,7,N,Amelanchier_sanguinea,0,0,0,35,-43
Rosaceae,Amelanchier,arborea,insect,pro/syn,4.5,7,N,Amelanchier_arborea,1,0,0,26,-47
Rosaceae,Amelanchier,laevis,insect,syn/ser,4,7,N,Amelanchier_laevis,0,0,0,34,-38
Rosaceae,Crataegus,crus-galli,insect,syn,5.5,9.5,N,Crataegus_crus-galli,1,0,0,24,-33
Rosaceae,Malus,pumila,insect,syn,5,8.5,N,Malus_pumila,1,0,0,33,-78
Fabaceae,Cercis,canadensis,insect,pro/syn,4.5,6.5,N,Cercis_canadensis,1,0,0,20,-28
Fabaceae,Gleditsia,triacanthos,insect,syn/ser,5.5,9.5,N,Gleditsia_triacanthos,0,0,0,20,-36
Fabaceae,Robinia,pseudoacacia,insect,ser,5.5,10,N,Robinia_pseudoacacia,0,0,0,16,-37
Cornaceae,Cornus,florida,insect,syn,5.5,10,N,Cornus_florida,1,0,0,28,-28
Cornaceae,Cornus,alternifolia,insect,ser,5.5,10,N,Cornus_alternifolia,0,0,0,24,-47
Cornaceae,Cornus,sericea,insect,ser,6,9,Y,Cornus_sericea,0,0,0,18,-38
Cornaceae,Cornus,amomum,insect,ser,6,8.5,N,Cornus_amomum,0,0,0,36,-38
Cornaceae,Cornus,foemina,insect,ser,5.5,8,Y,Cornus_foemina,0,0,0,36,-3
Cornaceae,Cornus,rugosa,insect,ser,5.5,8.5,Y,Cornus_rugosa,0,0,0,18,-28
Nyssaceae,Nyssa,sylvatica,insect,syn,5.5,10,N,Nyssa_sylvatica,1,0,0,40,-18
Ericaceae,Vaccinium,angustifolium,insect,ser,5.5,7.5,Y,Vaccinium_angustifolium,0,0,0,32,-33
Ericaceae,Vaccinium,ovalifolium,insect,pro,5.5,7.5,N,Vaccinium_ovalifolium,1,0,1,24,-33
Ericaceae,Gaylussacia,baccata,insect,ser,5.5,8.5,Y,Gaylussacia_baccata,0,0,0,28,-33
Ericaceae,Vaccinium,corymbosum,insect,ser,5.5,7.5,Y,Vaccinium_corymbosum,0,0,0,32,-33
Aqufoliaceae,Ilex,verticillata,insect,ser,6,9.5,N,Ilex_verticillata,0,0,0,35,-28
Adoxaceae,Sambucus,canadensis,insect,ser,6.5,9.5,Y,Sambucus_canadensis,0,0,0,34,-28
Adoxaceae,Sambucus,racemosa,insect,ser,4.5,6.5,Y,Sambucus_racemosa,0,0,0,24,-33
Adoxaceae,Viburnum,acerifolium,insect,ser,5.5,9,Y,Viburnum_acerifolium,0,0,0,32,-28
Adoxaceae,Viburnum,dentatum,insect,ser,5.5,8.5,Y,Viburnum_dentatum,0,0,0,32,-28
Adoxaceae,Viburnum,rafinesquianum,insect,ser,5.5,8.5,Y,Viburnum_rafinesquianum,0,0,0,30,-43
Adoxaceae,Viburnum,lentago,insect,ser,5.5,9.5,N,Viburnum_lentago,0,0,0,38,-33
Caprifoliaceae,Symphoricarpos,albus,insect,ser,6.5,9.5,Y,Symphoricarpos_albus,0,0,0,12,-38
Caprifoliaceae,Lonicera,tatarica,insect,ser,5.5,9,Y,Lonicera_tatarica,0,0,0,32,-38
Caprifoliaceae,Lonicera,maackii,insect,ser,6,9,Y,Lonicera_maackii,0,0,0,25,-33
Rubiaceae,Cephalanthus,occidentalis,insect,ser,7.5,9.5,Y,Cephalanthus_occidentalis,0,0,0,20,-33
Oleaceae,Fraxinus,profunda,wind,pro/syn,5,9,N,Fraxinus_profunda,1,1,0,36,-24
Oleaceae,Fraxinus,pennsylvanica,wind,pro/syn,5,9,N,Fraxinus_pennsylvanica,1,1,0,15,-47
Oleaceae,Fraxinus,americana,wind,pro,5,8.5,N,Fraxinus_americana,1,1,1,28,-34
Oleaceae,Fraxinus,nigra,wind,pro,5,8.5,N,Fraxinus_nigra,1,1,1,20,-47
Oleaceae,Syringa,vulgaris,insect,syn/ser,5,9,N,Syringa_vulgaris,0,0,0,30,-38
Oleaceae,Ligustrum,vulgare,insect,ser,6,9,Y,Ligustrum_vulgare,0,0,0,18,-38
Bignoniaceae,Catalpa,bignonioides,insect,ser,6.5,9,N,Catalpa_bignonioides,0,0,0,30,-18
Bignoniaceae,Catalpa,speciosa,insect,ser,6.5,9,N,Catalpa_speciosa,0,0,0,20,-38
