"'","'","'spring","'","'","'","'","'","'",
"'P. radiata","'35-45","'Spring","'25-75","'3-19","'Peat moss II","'6-13","'34-70","'1+0",
"'P. resinosa","'0","'Fall or","'30-50","'6-10","'None","'-","'65-80","'2+0, 3+0, 2+1,",
"'","'","'spring","'","'","'","'","'","'2+2",
"'P. rigida","'0","'Spring","'30-35","'Press","'Sand","'3","'","'2+0",
"'P. roxburghii","'0","'Spring","'","'3-13","'-","'-","'30-35","'I+I, 2+1",
"'P. strobus","'0","'Fall","'20-50","'16, or","'Sawdust, or","'3-6","'55-85","'2+0, 3+0, 2+1,",
"'","'30","'Spring","'","'Press","'wood fiber","'-","'","'2+2",
"'P. sylvestris","'0","'Fall","'30-60","'3-13","'Peat moss Il","'6-13","'25-70","'1+0, 2+0, 2+1,",
"'","'2-60","'Spring","'","'","'","'-","'-","'2+2",
"'P. taeda","'30-60","'Spring","'40","'Press","'Pine straw","'-","'60","'1+0",
"'P. thunbergiana","'0","'Fall or spring","'50-100","'3","'Burlap or straw in winter","'-","'31","'2+0, |+|",
"'P. virginiana","'0","'Fall","'30-35","'6 or","'Sand, pine","'6-13","'63-90","'1+0,2+0",
"'","'14","'Spring","'","'press","'Needles or sawdust","'","'","'",
"'P. wallichiana","'0","'Fall","'cast","'13","'None","'-","'46","'I+1,1+1+1",
"'","'15-20","'Spring","'","'-","'-","'-","'","'-",
"'P. washoensis","'60","'Spring","'25-30","'6-10","'None","'","'50-80","'1+0,2+0",
,,,,,,,,

'Confidence Scores % (Table Cell)
"'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500",
"'46.58203125","'51.75781250","'74.41406250","'74.41406250","'78.46679688","'78.46679688","'72.50976563","'72.50976563","'47.65625000",
"'46.58203125","'51.75781250","'89.89257813","'92.96875000","'91.84570313","'95.70312500","'93.99414063","'89.89257813","'47.65625000",
"'55.85937500","'70.75195313","'86.18164063","'89.16015625","'88.08593750","'91.79687500","'90.13671875","'86.18164063","'91.35742188",
"'40.82031250","'57.32421875","'69.82421875","'72.26562500","'71.33789063","'74.36523438","'73.04687500","'69.82421875","'74.02343750",
"'40.82031250","'38.03710938","'46.33789063","'47.94921875","'47.36328125","'49.36523438","'48.46191406","'46.33789063","'49.12109375",
"'55.71289063","'70.55664063","'85.98632813","'88.96484375","'87.84179688","'91.55273438","'89.89257813","'85.98632813","'91.11328125",
"'56.44531250","'71.48437500","'87.10937500","'90.08789063","'89.01367188","'92.72460938","'91.06445313","'87.10937500","'92.33398438",
"'24.57275391","'31.12792969","'37.91503906","'39.23339844","'38.74511719","'40.38085938","'39.64843750","'37.91503906","'40.20996094",
"'53.61328125","'67.91992188","'82.76367188","'85.59570313","'84.57031250","'88.13476563","'86.52343750","'82.76367188","'87.69531250",
"'53.90625000","'68.31054688","'83.25195313","'86.13281250","'85.05859375","'88.62304688","'87.06054688","'83.25195313","'88.23242188",
"'50.83007813","'64.40429688","'78.46679688","'81.20117188","'80.17578125","'83.59375000","'82.08007813","'78.46679688","'83.20312500",
"'55.41992188","'70.21484375","'85.54687500","'88.52539063","'87.45117188","'91.11328125","'89.50195313","'85.54687500","'90.72265625",
"'54.49218750","'68.99414063","'84.08203125","'87.01171875","'85.93750000","'89.55078125","'87.93945313","'84.08203125","'89.16015625",
"'57.03125000","'72.26562500","'88.03710938","'91.06445313","'89.94140625","'93.75000000","'92.04101563","'88.03710938","'93.31054688",
"'24.34082031","'58.39843750","'37.57324219","'38.86718750","'39.99023438","'40.82031250","'41.67480469","'41.01562500","'42.06542969",
"'23.38867188","'58.39843750","'36.10839844","'37.35351563","'39.99023438","'40.82031250","'41.67480469","'41.01562500","'42.06542969",
"'23.88916016","'30.24902344","'36.86523438","'38.13476563","'37.67089844","'39.25781250","'38.54980469","'36.86523438","'39.08691406",
"'54.19921875","'68.65234375","'83.64257813","'86.52343750","'85.44921875","'89.06250000","'87.45117188","'83.64257813","'88.67187500",
"'52.58789063","'66.60156250","'81.15234375","'83.98437500","'82.95898438","'86.42578125","'84.86328125","'81.15234375","'86.03515625",
"'56.59179688","'71.67968750","'87.30468750","'90.33203125","'89.20898438","'92.96875000","'91.30859375","'87.30468750","'92.57812500",
"'54.68750000","'69.28710938","'84.42382813","'87.30468750","'86.23046875","'89.89257813","'88.28125000","'84.42382813","'89.45312500",
"'52.68554688","'66.74804688","'81.29882813","'84.13085938","'83.10546875","'86.57226563","'85.00976563","'81.29882813","'86.18164063",
"'53.85742188","'68.26171875","'83.15429688","'86.03515625","'84.96093750","'88.52539063","'86.96289063","'83.15429688","'88.13476563",
"'52.34375000","'66.30859375","'80.81054688","'83.59375000","'82.56835938","'86.08398438","'84.52148438","'80.81054688","'85.69335938",
"'48.99902344","'62.06054688","'75.63476563","'78.22265625","'77.24609375","'80.51757813","'79.05273438","'75.63476563","'80.17578125",
"'42.40722656","'53.71093750","'65.42968750","'67.72460938","'66.84570313","'69.67773438","'68.45703125","'65.42968750","'69.38476563",
"'50.68359375","'64.20898438","'78.27148438","'80.95703125","'79.98046875","'83.34960938","'81.83593750","'78.27148438","'82.95898438",
"'53.90625000","'68.26171875","'83.20312500","'86.08398438","'85.00976563","'88.57421875","'87.01171875","'83.20312500","'88.18359375",
"'23.77929688","'30.12695313","'36.71875000","'37.98828125","'37.50000000","'39.08691406","'38.37890625","'36.71875000","'38.91601563",
"'24.34082031","'30.83496094","'37.57324219","'38.86718750","'38.37890625","'39.99023438","'39.28222656","'37.57324219","'39.81933594",
"'44.94628906","'55.71289063","'67.87109375","'70.21484375","'69.33593750","'72.26562500","'70.94726563","'67.87109375","'71.92382813",
"'44.94628906","'32.17773438","'39.20898438","'40.57617188","'40.06347656","'41.77246094","'41.01562500","'39.20898438","'41.57714844",
"'57.47070313","'72.80273438","'88.72070313","'91.74804688","'90.62500000","'94.48242188","'92.77343750","'88.72070313","'94.04296875",
"'23.60839844","'29.90722656","'36.45019531","'37.69531250","'37.23144531","'38.79394531","'38.11035156","'36.45019531","'87.25585938",
"'45.94726563","'58.20312500","'70.89843750","'73.33984375","'72.46093750","'75.48828125","'74.16992188","'70.89843750","'87.25585938",
"'44.06738281","'41.21093750","'60.59570313","'62.69531250","'61.91406250","'64.55078125","'63.37890625","'60.59570313","'64.25781250",
"'44.06738281","'41.21093750","'40.55175781","'41.94335938","'41.43066406","'43.16406250","'42.40722656","'40.55175781","'42.96875000",
"'55.12695313","'69.82421875","'85.05859375","'88.03710938","'86.91406250","'90.57617188","'88.96484375","'85.05859375","'90.18554688",
"'53.46679688","'67.72460938","'82.51953125","'85.35156250","'84.32617188","'87.89062500","'86.27929688","'82.51953125","'87.50000000",
"'52.63671875","'66.65039063","'81.20117188","'84.03320313","'83.00781250","'86.47460938","'84.91210938","'81.20117188","'86.08398438",
"'49.87792969","'63.18359375","'77.00195313","'79.68750000","'78.66210938","'81.98242188","'80.51757813","'77.00195313","'81.64062500",
"'43.50585938","'59.08203125","'71.97265625","'74.46289063","'73.53515625","'76.66015625","'75.29296875","'71.97265625","'76.31835938",
"'43.50585938","'52.73437500","'64.25781250","'66.50390625","'65.67382813","'68.45703125","'67.23632813","'64.25781250","'68.11523438",
"'52.83203125","'66.89453125","'81.54296875","'84.37500000","'83.30078125","'86.81640625","'85.25390625","'81.54296875","'86.42578125",
"'57.37304688","'72.65625000","'88.52539063","'91.60156250","'90.47851563","'94.28710938","'92.57812500","'88.52539063","'93.84765625",
"'42.33398438","'42.11425781","'51.31835938","'53.07617188","'52.44140625","'54.63867188","'53.66210938","'51.31835938","'54.39453125",
"'42.33398438","'59.13085938","'72.07031250","'74.56054688","'73.63281250","'76.75781250","'75.39062500","'72.07031250","'76.41601563",
"'45.80078125","'66.11328125","'80.56640625","'83.34960938","'82.32421875","'85.79101563","'84.22851563","'80.56640625","'51.75781250",
"'45.80078125","'38.98925781","'47.50976563","'49.14550781","'48.55957031","'50.58593750","'49.68261719","'47.50976563","'51.75781250",
"'57.47070313","'72.80273438","'88.72070313","'91.74804688","'90.62500000","'94.48242188","'92.77343750","'88.72070313","'94.04296875",
