"'89.79492188","'88.91601563","'90.03906250","'88.76953125","'89.94140625","'89.16015625","'90.13671875","'88.96484375","'86.81640625","'88.86718750",
"'89.84375000","'88.96484375","'90.08789063","'88.81835938","'89.99023438","'89.20898438","'90.18554688","'89.01367188","'86.81640625","'88.91601563",
"'92.08984375","'91.16210938","'92.33398438","'91.01562500","'92.23632813","'91.45507813","'92.43164063","'91.25976563","'89.01367188","'91.11328125",
"'89.69726563","'88.81835938","'89.94140625","'88.67187500","'89.84375000","'89.06250000","'90.03906250","'88.91601563","'86.71875000","'88.76953125",
"'91.89453125","'90.91796875","'92.08984375","'90.82031250","'91.99218750","'91.21093750","'92.18750000","'91.01562500","'88.76953125","'90.86914063",
"'89.89257813","'88.96484375","'90.13671875","'88.86718750","'90.03906250","'89.25781250","'90.23437500","'89.06250000","'86.86523438","'88.96484375",
"'89.94140625","'89.01367188","'90.18554688","'88.91601563","'90.08789063","'89.30664063","'90.28320313","'89.11132813","'86.91406250","'88.96484375",
"'78.85742188","'78.02734375","'79.05273438","'77.92968750","'78.95507813","'78.27148438","'79.10156250","'78.12500000","'76.17187500","'77.97851563",
"'79.88281250","'79.05273438","'80.07812500","'78.95507813","'79.98046875","'79.29687500","'80.12695313","'79.15039063","'77.19726563","'79.00390625",
"'86.91406250","'86.03515625","'87.10937500","'85.88867188","'87.01171875","'86.27929688","'87.20703125","'86.08398438","'83.98437500","'85.98632813",
"'81.54296875","'80.71289063","'81.73828125","'80.61523438","'81.68945313","'80.95703125","'81.83593750","'80.81054688","'78.80859375","'80.66406250",
"'91.25976563","'90.33203125","'91.50390625","'90.18554688","'91.40625000","'90.62500000","'91.60156250","'90.42968750","'88.18359375","'90.28320313",
"'89.11132813","'88.18359375","'89.30664063","'88.08593750","'89.25781250","'88.47656250","'89.40429688","'88.28125000","'86.13281250","'88.13476563",
"'84.17968750","'83.30078125","'84.37500000","'83.20312500","'84.32617188","'83.59375000","'84.47265625","'83.39843750","'81.34765625","'83.30078125",
"'83.44726563","'82.56835938","'83.64257813","'82.47070313","'83.54492188","'82.81250000","'83.74023438","'82.66601563","'80.61523438","'82.51953125",
"'89.69726563","'88.81835938","'89.94140625","'88.67187500","'89.84375000","'89.06250000","'90.03906250","'88.91601563","'86.71875000","'88.76953125",
"'92.33398438","'91.40625000","'92.57812500","'91.25976563","'92.48046875","'91.69921875","'92.67578125","'91.50390625","'89.25781250","'91.35742188",
"'85.30273438","'84.42382813","'85.49804688","'84.32617188","'85.44921875","'84.71679688","'85.59570313","'84.52148438","'82.42187500","'84.37500000",
"'87.89062500","'87.01171875","'88.08593750","'86.86523438","'88.03710938","'87.25585938","'88.18359375","'87.06054688","'84.91210938","'86.96289063",
"'78.46679688","'77.63671875","'78.66210938","'77.53906250","'78.56445313","'77.88085938","'78.75976563","'77.73437500","'75.83007813","'77.63671875",
"'76.31835938","'75.53710938","'76.51367188","'75.39062500","'76.41601563","'75.78125000","'76.56250000","'75.58593750","'73.73046875","'75.48828125",
"'89.94140625","'89.01367188","'90.18554688","'88.91601563","'90.08789063","'89.30664063","'90.28320313","'89.11132813","'86.91406250","'88.96484375",
"'90.72265625","'89.79492188","'90.91796875","'89.64843750","'90.82031250","'90.03906250","'91.01562500","'89.89257813","'87.64648438","'89.74609375",
"'79.88281250","'79.05273438","'80.07812500","'78.95507813","'79.98046875","'79.29687500","'80.12695313","'79.15039063","'77.19726563","'79.00390625",
"'79.88281250","'79.05273438","'80.07812500","'78.95507813","'79.98046875","'79.29687500","'80.12695313","'79.15039063","'77.19726563","'79.00390625",
"'90.67382813","'89.74609375","'90.86914063","'89.59960938","'90.77148438","'89.99023438","'90.96679688","'89.84375000","'87.59765625","'89.69726563",
"'75.78125000","'75.00000000","'75.97656250","'74.90234375","'75.87890625","'75.24414063","'76.07421875","'75.09765625","'73.24218750","'75.00000000",
"'87.98828125","'87.06054688","'88.18359375","'86.96289063","'88.13476563","'87.35351563","'88.28125000","'87.15820313","'85.00976563","'87.06054688",
"'89.35546875","'88.42773438","'89.55078125","'88.28125000","'89.45312500","'88.72070313","'89.64843750","'88.52539063","'86.32812500","'88.37890625",
"'88.86718750","'87.98828125","'89.11132813","'87.84179688","'89.01367188","'88.23242188","'89.20898438","'88.03710938","'85.88867188","'87.93945313",
"'89.50195313","'88.57421875","'89.69726563","'88.42773438","'89.59960938","'88.81835938","'89.79492188","'88.67187500","'86.47460938","'88.52539063",
"'89.16015625","'88.23242188","'89.35546875","'88.08593750","'89.30664063","'88.52539063","'89.45312500","'88.33007813","'86.18164063","'88.18359375",
"'86.96289063","'86.08398438","'87.15820313","'85.93750000","'87.06054688","'86.32812500","'87.25585938","'86.13281250","'84.03320313","'86.03515625",
"'86.42578125","'85.54687500","'86.66992188","'85.40039063","'86.57226563","'85.83984375","'86.71875000","'85.64453125","'83.54492188","'85.49804688",
"'87.01171875","'86.13281250","'87.20703125","'85.98632813","'87.10937500","'86.37695313","'87.30468750","'86.18164063","'84.08203125","'86.08398438",
"'93.75000000","'92.77343750","'93.99414063","'92.62695313","'93.89648438","'93.06640625","'94.09179688","'92.87109375","'90.62500000","'92.72460938",
