"","Genus_species","Original.Genus","Corrected.Genus","Family","Dormancy.Class","matched_name2"
"84","Abies religiosa","Abies","Abies","Pinaceae","PD","Abies religiosa"
"85","Abies sachalinensis","Abies","Abies","Pinaceae","PD","Abies sachalinensis"
"86","Abies sibirica","Abies","Abies","Pinaceae","PD","Abies sibirica"
"87","Abies spectabilis","Abies","Abies","Pinaceae","PD","Abies spectabilis"
"88","Abies veitchii","Abies","Abies","Pinaceae","PD","Abies veitchii"
"89","Abroma augusta","Abroma","Abroma","Malvaceae","ND","Abroma augusta"
"90","Abronia fragrans","Abronia","Abronia","Nyctaginaceae","PD","Abronia fragrans"
"91","Abronia maritima","Abronia","Abronia","Nyctaginaceae","PD","Abronia maritima"
"92","Abronia umbellata","Abronia","Abronia","Nyctaginaceae","PD","Abronia umbellata"
"94","Abronia villosa","Abronia","Abronia","Nyctaginaceae","PD","Abronia villosa"
"95","Abrus praecatorius","Abrus","Abrus","Fabaceae","PY","Abrus precatorius"
"97","Abrus precatorius","Abrus","Abrus","Fabaceae","PY","Abrus precatorius"
"105","Abuta panamensis","Abuta","Abuta","Menispermaceae","PD","Abuta panamensis"
"106","Abutilon eremitopetalum","Abutilon","Abutilon","Malvaceae","PY","Abutilon eremitopetalum"
"107","Abutilon fruticosum","Abutilon","Abutilon","Malvaceae","PY","Abutilon fruticosum"
"108","Abutilon indicum","Abutilon","Abutilon","Malvaceae","PY","Abutilon indicum"
"110","Abutilon longicuspe","Abutilon","Abutilon","Malvaceae","PY","Abutilon longicuspe"
"111","Abutilon menziesii","Abutilon","Abutilon","Malvaceae","PY","Abutilon menziesii"
"112","Abutilon sandwicense","Abutilon","Abutilon","Malvaceae","PY","Abutilon sandwicense"
"113","Abutilon theophrasti","Abutilon","Abutilon","Malvaceae","PY","Abutilon theophrasti"
"114","Acacia abyssinica","Acacia","Acacia","Fabaceae","PY","Acacia abyssinica"
"116","Acacia acuminata","Acacia","Acacia","Fabaceae","PY","Acacia acuminata"
"118","Acacia adsurgens","Acacia","Acacia","Fabaceae","PY","Acacia adsurgens"
"122","Acacia albida","Acacia","Acacia","Fabaceae","PY","Acacia albida"
"123","Acacia ammobia","Acacia","Acacia","Fabaceae","PY","Acacia ammobia"
"124","Acacia ampliceps","Acacia","Acacia","Fabaceae","PY","Acacia ampliceps"
"126","Acacia aneura","Acacia","Acacia","Fabaceae","PY","Acacia aneura"
"128","Acacia angustissima","Acacia","Acacia","Fabaceae","PY","Acacia angustissima"
"129","Acacia aprica","Acacia","Acacia","Fabaceae","PY","Acacia aprica"
"130","Acacia arabica","Acacia","Acacia","Fabaceae","PY","Acacia arabica"
"131","Acacia aristulata","Acacia","Acacia","Fabaceae","PY","Acacia aristulata"
"132","Acacia aroma","Acacia","Acacia","Fabaceae","PY","Acacia aroma"
"134","Acacia asak","Acacia","Acacia","Fabaceae","PY","Acacia asak"
"135","Acacia ataxacantha","Acacia","Acacia","Fabaceae","ND","Acacia ataxacantha"
"136","Acacia ataxiphylla","Acacia","Acacia","Fabaceae","PY","Acacia ataxiphylla"
"137","Acacia atramentaria","Acacia","Acacia","Fabaceae","PY","Acacia atramentaria"
"138","Acacia aulacocarpa","Acacia","Acacia","Fabaceae","PY","Acacia aulacocarpa"
"140","Acacia auratiflora","Acacia","Acacia","Fabaceae","PY","Acacia auratiflora"
"141","Acacia aureocrinita","Acacia","Acacia","Fabaceae","PY","Acacia aureocrinita"
"142","Acacia auriculiformis","Acacia","Acacia","Fabaceae","PY","Acacia auriculiformis"
"143","Acacia ausfeldii","Acacia","Acacia","Fabaceae","PY","Acacia ausfeldii"
"144","Acacia awestoniana","Acacia","Acacia","Fabaceae","PY","Acacia awestoniana"
"145","Acacia bakeri","Acacia","Acacia","Fabaceae","PY","Acacia bakeri"
"146","Acacia benthamii","Acacia","Acacia","Fabaceae","PY","Acacia benthamii"
"147","Acacia berlandieri","Acacia","Acacia","Fabaceae","PY","Acacia berlandieri"
"148","Acacia bonariensis","Acacia","Acacia","Fabaceae","PY","Acacia bonariensis"
"149","Acacia brachypoda","Acacia","Acacia","Fabaceae","PY","Acacia brachypoda"
"150","Acacia brachystachya","Acacia","Acacia","Fabaceae","PY","Acacia brachystachya"
"151","Acacia brassii","Acacia","Acacia","Fabaceae","PY","Acacia brassii"
"152","Acacia brevispica","Acacia","Acacia","Fabaceae","PY","Acacia brevispica"
"153","Acacia browniana","Acacia","Acacia","Fabaceae","PY","Acacia browniana"
"154","Acacia burkei","Acacia","Acacia","Fabaceae","PY","Acacia burkei"
"155","Acacia burrowii","Acacia","Acacia","Fabaceae","PY","Acacia burrowii"
"156","Acacia bynoeana","Acacia","Acacia","Fabaceae","PY","Acacia bynoeana"
"157","Acacia caffra","Acacia","Acacia","Fabaceae","ND","Acacia caffra"
"158","Acacia caffra","Acacia","Acacia","Fabaceae","PY","Acacia caffra"
"159","Acacia calcicola","Acacia","Acacia","Fabaceae","PY","Acacia calcicola"
"160","Acacia cambagei","Acacia","Acacia","Fabaceae","PY","Acacia cambagei"
"161","Acacia catechu","Acacia","Acacia","Fabaceae","PY","Acacia catechu"
"162","Acacia caven","Acacia","Acacia","Fabaceae","PY","Acacia caven"
"166","Acacia chrysotricha","Acacia","Acacia","Fabaceae","PY","Acacia chrysotricha"
"167","Acacia cincinnata","Acacia","Acacia","Fabaceae","PY","Acacia cincinnata"
"168","Acacia citrinoviridis","Acacia","Acacia","Fabaceae","PY","Acacia citrinoviridis"
"169","Acacia clunies-rossiae","Acacia","Acacia","Fabaceae","PY","Acacia clunies-rossiae"
"170","Acacia cochliacantha","Acacia","Acacia","Fabaceae","PY","Acacia cochliacantha"
"171","Acacia cochlocarpa","Acacia","Acacia","Fabaceae","PY","Acacia cochlocarpa"
"172","Acacia colei","Acacia","Acacia","Fabaceae","PY","Acacia colei"
"174","Acacia concinna","Acacia","Acacia","Fabaceae","PY","Acacia concinna"
"175","Acacia confusa","Acacia","Acacia","Fabaceae","PY","Acacia confusa"
"176","Acacia conspersa","Acacia","Acacia","Fabaceae","PY","Acacia conspersa"
"177","Acacia constricta","Acacia","Acacia","Fabaceae","PY","Acacia constricta"
"178","Acacia coriacea","Acacia","Acacia","Fabaceae","PY","Acacia coriacea"
"180","Acacia cornigera","Acacia","Acacia","Fabaceae","ND","Acacia cornigera"
"181","Acacia costiniana","Acacia","Acacia","Fabaceae","PY","Acacia costiniana"
"182","Acacia courtii","Acacia","Acacia","Fabaceae","PY","Acacia courtii"
"183","Acacia cowleana","Acacia","Acacia","Fabaceae","PY","Acacia cowleana"
"185","Acacia craspedocarpa","Acacia","Acacia","Fabaceae","PY","Acacia craspedocarpa"
"186","Acacia crassicarpa","Acacia","Acacia","Fabaceae","PY","Acacia crassicarpa"
"187","Acacia cyanophylla","Acacia","Acacia","Fabaceae","PY","Acacia cyanophylla"
"188","Acacia cyclops","Acacia","Acacia","Fabaceae","PY","Acacia cyclops"
"189","Acacia dealbata","Acacia","Acacia","Fabaceae","PY","Acacia dealbata"
"190","Acacia deanei","Acacia","Acacia","Fabaceae","PY","Acacia deanei"
"191","Acacia difficilis","Acacia","Acacia","Fabaceae","PY","Acacia difficilis"
"192","Acacia disparrima","Acacia","Acacia","Fabaceae","PY","Acacia disparrima"
"193","Acacia distans","Acacia","Acacia","Fabaceae","PY","Acacia distans"
"195","Acacia drepanolobium","Acacia","Acacia","Fabaceae","ND","Acacia drepanolobium"
"196","Acacia drummondii","Acacia","Acacia","Fabaceae","PY","Acacia drummondii"
"197","Acacia dudgeoni","Acacia","Acacia","Fabaceae","PY","Acacia dudgeoni"
"198","Acacia dudgeoni","Acacia","Acacia","Fabaceae","ND","Acacia dudgeoni"
"199","Acacia dunnii","Acacia","Acacia","Fabaceae","PY","Acacia dunnii"
"200","Acacia ehrenbergiana","Acacia","Acacia","Fabaceae","PY","Acacia ehrenbergiana"
"201","Acacia ehrenbergiana","Acacia","Acacia","Fabaceae","ND","Acacia ehrenbergiana"
"202","Acacia elata","Acacia","Acacia","Fabaceae","PY","Acacia elata"
"203","Acacia erioloba","Acacia","Acacia","Fabaceae","PY","Acacia erioloba"
"205","Acacia eriopoda","Acacia","Acacia","Fabaceae","PY","Acacia eriopoda"
"207","Acacia erubescens","Acacia","Acacia","Fabaceae","ND","Acacia erubescens"
"208","Acacia estrophiolata","Acacia","Acacia","Fabaceae","PY","Acacia estrophiolata"
"209","Acacia extensa","Acacia","Acacia","Fabaceae","PY","Acacia extensa"
"210","Acacia farnesiana","Acacia","Acacia","Fabaceae","PY","Acacia farnesiana"
"214","Acacia fasciculifera","Acacia","Acacia","Fabaceae","PY","Acacia fasciculifera"
"215","Acacia filicifolia","Acacia","Acacia","Fabaceae","PY","Acacia filicifolia"
"217","Acacia flavescens","Acacia","Acacia","Fabaceae","PY","Acacia flavescens"
"219","Acacia furcatispina","Acacia","Acacia","Fabaceae","PY","Acacia furcatispina"
"221","Acacia galpinii","Acacia","Acacia","Fabaceae","PY","Acacia galpinii"
"222","Acacia genistifolia","Acacia","Acacia","Fabaceae","PY","Acacia genistifolia"
"223","Acacia georgensis","Acacia","Acacia","Fabaceae","PY","Acacia georgensis"
"224","Acacia gerrardii","Acacia","Acacia","Fabaceae","PY","Acacia gerrardii"
"225","Acacia glaucocarpa","Acacia","Acacia","Fabaceae","PY","Acacia glaucocarpa"
"226","Acacia gordonii","Acacia","Acacia","Fabaceae","PY","Acacia gordonii"
"227","Acacia grandicornuta","Acacia","Acacia","Fabaceae","PY","Acacia grandicornuta"
"228","Acacia greggii","Acacia","Acacia","Fabaceae","PY","Acacia greggii"
"229","Acacia hamulosa","Acacia","Acacia","Fabaceae","PY","Acacia hamulosa"
"230","Acacia harpophylla","Acacia","Acacia","Fabaceae","ND","Acacia harpophylla"
"231","Acacia hayesii","Acacia","Acacia","Fabaceae","ND","Acacia hayesii"
"232","Acacia hebeclada","Acacia","Acacia","Fabaceae","PY","Acacia hebeclada"
"234","Acacia helicophylla","Acacia","Acacia","Fabaceae","PY","Acacia helicophylla"
"235","Acacia hemignosta","Acacia","Acacia","Fabaceae","ND","Acacia hemignosta"
"236","Acacia hemignosta","Acacia","Acacia","Fabaceae","PY","Acacia hemignosta"
"237","Acacia herbeclada","Acacia","Acacia","Fabaceae","PY","Acacia hebeclada"
"238","Acacia hereroensis","Acacia","Acacia","Fabaceae","PY","Acacia hereroensis"
"239","Acacia heteroclita","Acacia","Acacia","Fabaceae","PY","Acacia heteroclita"
"240","Acacia holosericea","Acacia","Acacia","Fabaceae","PY","Acacia holosericea"
"242","Acacia hylonoma","Acacia","Acacia","Fabaceae","PY","Acacia hylonoma"
"243","Acacia insolita","Acacia","Acacia","Fabaceae","PY","Acacia insolita"
"244","Acacia iraquensis","Acacia","Acacia","Fabaceae","PY","Acacia iraqensis"
"245","Acacia irrorata","Acacia","Acacia","Fabaceae","PY","Acacia irrorata"
"246","Acacia julifera","Acacia","Acacia","Fabaceae","PY","Acacia julifera"
"247","Acacia kamerunensis","Acacia","Acacia","Fabaceae","ND","Acacia kamerunensis"
"248","Acacia karro","Acacia","Acacia","Fabaceae","PY","Acacia karroo"
"249","Acacia kempeana","Acacia","Acacia","Fabaceae","PY","Acacia kempeana"
"250","Acacia koa","Acacia","Acacia","Fabaceae","PY","Acacia koa"
"251","Acacia kybeanensis","Acacia","Acacia","Fabaceae","PY","Acacia kybeanensis"
"252","Acacia lasiocarpa","Acacia","Acacia","Fabaceae","PY","Acacia lasiocarpa"
"253","Acacia latericola","Acacia","Acacia","Fabaceae","PY","Acacia latericola"
"254","Acacia lenticularis","Acacia","Acacia","Fabaceae","PY","Acacia lenticularis"
"255","Acacia leptalea","Acacia","Acacia","Fabaceae","PY","Acacia leptalea"
"256","Acacia leptocarpa","Acacia","Acacia","Fabaceae","PY","Acacia leptocarpa"
"258","Acacia leucoclada","Acacia","Acacia","Fabaceae","PY","Acacia leucoclada"
"259","Acacia leucolobia","Acacia","Acacia","Fabaceae","PY","Acacia leucolobia"
"260","Acacia leucophaea","Acacia","Acacia","Fabaceae","PY","Acacia leucophaea"
"261","Acacia ligulata","Acacia","Acacia","Fabaceae","PY","Acacia ligulata"
"262","Acacia lobulata","Acacia","Acacia","Fabaceae","PY","Acacia lobulata"
"263","Acacia longispicata","Acacia","Acacia","Fabaceae","PY","Acacia longispicata"
"264","Acacia lucasii","Acacia","Acacia","Fabaceae","PY","Acacia lucasii"
"265","Acacia luederitzii","Acacia","Acacia","Fabaceae","PY","Acacia luederitzii"
"266","Acacia macnuttiana","Acacia","Acacia","Fabaceae","PY","Acacia macnuttiana"
"267","Acacia maconochieana","Acacia","Acacia","Fabaceae","ND","Acacia maconochieana"
"268","Acacia macracantha","Acacia","Acacia","Fabaceae","PY","Acacia macracantha"
"269","Acacia macrostachya","Acacia","Acacia","Fabaceae","ND","Acacia macrostachya"
"270","Acacia maidenii","Acacia","Acacia","Fabaceae","PY","Acacia maidenii"
"271","Acacia mangium","Acacia","Acacia","Fabaceae","PY","Acacia mangium"
"273","Acacia mearnsii","Acacia","Acacia","Fabaceae","PY","Acacia mearnsii"
"276","Acacia melanoxylon","Acacia","Acacia","Fabaceae","PY","Acacia melanoxylon"
"280","Acacia mellifera","Acacia","Acacia","Fabaceae","PY","Acacia mellifera"
"281","Acacia modesta","Acacia","Acacia","Fabaceae","PY","Acacia modesta"
"283","Acacia montfordii","Acacia","Acacia","Fabaceae","PY","Acacia mountfordiae"
"284","Acacia multisiliqua","Acacia","Acacia","Fabaceae","PY","Acacia multisiliqua"
"285","Acacia murrayana","Acacia","Acacia","Fabaceae","PY","Acacia murrayana"
"287","Acacia myritifolia","Acacia","Acacia","Fabaceae","PY","Acacia myrtifolia"
"288","Acacia neriifolia","Acacia","Acacia","Fabaceae","PY","Acacia neriifolia"
"289","Acacia nigrescens","Acacia","Acacia","Fabaceae","ND","Acacia nigrescens"
"290","Acacia nigrescens","Acacia","Acacia","Fabaceae","PY","Acacia nigrescens"
"291","Acacia nilotica","Acacia","Acacia","Fabaceae","PY","Acacia nilotica"
"293","Acacia obliquinervia","Acacia","Acacia","Fabaceae","PY","Acacia obliquinervia"
"294","Acacia oerfota","Acacia","Acacia","Fabaceae","PY","Acacia oerfota"
"295","Acacia oerfta","Acacia","Acacia","Fabaceae","PY","Acacia oerfota"
"296","Acacia oraria","Acacia","Acacia","Fabaceae","PY","Acacia oraria"
"297","Acacia origena","Acacia","Acacia","Fabaceae","PY","Acacia origena"
"299","Acacia orites","Acacia","Acacia","Fabaceae","PY","Acacia orites"
"300","Acacia orthocarpa","Acacia","Acacia","Fabaceae","PY","Acacia orthocarpa"
"301","Acacia pachycarpa","Acacia","Acacia","Fabaceae","PY","Acacia pachycarpa"
"302","Acacia paradoxa","Acacia","Acacia","Fabaceae","PY","Acacia paradoxa"
"303","Acacia pennatula","Acacia","Acacia","Fabaceae","PY","Acacia pennatula"
"305","Acacia petraea","Acacia","Acacia","Fabaceae","PY","Acacia petraea"
"306","Acacia pharangites","Acacia","Acacia","Fabaceae","PY","Acacia pharangites"
"307","Acacia phasmoides","Acacia","Acacia","Fabaceae","PY","Acacia phasmoides"
"308","Acacia pilispina","Acacia","Acacia","Fabaceae","PY","Acacia pilispina"
"310","Acacia pinguifolia","Acacia","Acacia","Fabaceae","PY","Acacia pinguifolia"
"311","Acacia platycarpa","Acacia","Acacia","Fabaceae","PY","Acacia platycarpa"
"313","Acacia plectocarpa","Acacia","Acacia","Fabaceae","PY","Acacia plectocarpa"
"314","Acacia podalyriifolia","Acacia","Acacia","Fabaceae","PY","Acacia podalyriifolia"
"315","Acacia polyacantha","Acacia","Acacia","Fabaceae","PY","Acacia polyacantha"
"316","Acacia polyphylla","Acacia","Acacia","Fabaceae","ND","Acacia polyphylla"
"317","Acacia polystachya","Acacia","Acacia","Fabaceae","PY","Acacia polystachya"
"318","Acacia praecox","Acacia","Acacia","Fabaceae","PY","Acacia praecox"
"319","Acacia pseudo-eburnea","Acacia","Acacia","Fabaceae","PY","Acacia pseudo-eburnea"
"320","Acacia pubescens","Acacia","Acacia","Fabaceae","PY","Acacia pubescens"
"321","Acacia pubifolia","Acacia","Acacia","Fabaceae","PY","Acacia pubifolia"
"322","Acacia pulchella","Acacia","Acacia","Fabaceae","PY","Acacia pulchella"
"323","Acacia pycnantha","Acacia","Acacia","Fabaceae","PY","Acacia pycnantha"
"324","Acacia pycnostachya","Acacia","Acacia","Fabaceae","PY","Acacia pycnostachya"
"325","Acacia pygmaea","Acacia","Acacia","Fabaceae","PY","Acacia pygmaea"
"326","Acacia raddiana","Acacia","Acacia","Fabaceae","PY","Acacia raddiana"
"327","Acacia ramulosa","Acacia","Acacia","Fabaceae","PY","Acacia ramulosa"
"328","Acacia recurvata","Acacia","Acacia","Fabaceae","PY","Acacia recurvata"
"329","Acacia rigidula","Acacia","Acacia","Fabaceae","PY","Acacia rigidula"
"330","Acacia robusta","Acacia","Acacia","Fabaceae","PY","Acacia robusta"
"331","Acacia rothii","Acacia","Acacia","Fabaceae","PY","Acacia rothii"
"332","Acacia rubida","Acacia","Acacia","Fabaceae","PY","Acacia rubida"
"333","Acacia ruppii","Acacia","Acacia","Fabaceae","PY","Acacia ruppii"
"334","Acacia salicina","Acacia","Acacia","Fabaceae","PY","Acacia salicina"
"336","Acacia saligna","Acacia","Acacia","Fabaceae","PY","Acacia saligna"
"337","Acacia schaffneri","Acacia","Acacia","Fabaceae","PY","Acacia schaffneri"
"338","Acacia sciophanes","Acacia","Acacia","Fabaceae","PY","Acacia sciophanes"
"339","Acacia sclerosperma","Acacia","Acacia","Fabaceae","PY","Acacia sclerosperma"
"341","Acacia senegal","Acacia","Acacia","Fabaceae","ND","Acacia senegal"
"342","Acacia senegal","Acacia","Acacia","Fabaceae","PY","Acacia senegal"
"343","Acacia seyal","Acacia","Acacia","Fabaceae","PY","Acacia seyal"
"345","Acacia shirleyi","Acacia","Acacia","Fabaceae","PY","Acacia shirleyi"
"346","Acacia siculiformis","Acacia","Acacia","Fabaceae","PY","Acacia siculiformis"
"347","Acacia sieberiana","Acacia","Acacia","Fabaceae","PY","Acacia sieberiana"
"348","Acacia silvestris","Acacia","Acacia","Fabaceae","PY","Acacia silvestris"
"349","Acacia simsii","Acacia","Acacia","Fabaceae","PY","Acacia simsii"
"351","Acacia smallii","Acacia","Acacia","Fabaceae","PY","Acacia smallii"
"352","Acacia spirorbis","Acacia","Acacia","Fabaceae","PY","Acacia spirorbis"
"353","Acacia stenophylla","Acacia","Acacia","Fabaceae","PY","Acacia stenophylla"
"354","Acacia stipuligera","Acacia","Acacia","Fabaceae","PY","Acacia stipuligera"
"356","Acacia suaveolens","Acacia","Acacia","Fabaceae","PY","Acacia suaveolens"
"357","Acacia subflexuosa","Acacia","Acacia","Fabaceae","PY","Acacia subflexuosa"
"358","Acacia tanganyikensis","Acacia","Acacia","Fabaceae","PY","Acacia tanganyikensis"
"359","Acacia tephrina","Acacia","Acacia","Fabaceae","PY","Acacia tephrina"
"360","Acacia terminalis","Acacia","Acacia","Fabaceae","PY","Acacia terminalis"
"361","Acacia tetragonophylla","Acacia","Acacia","Fabaceae","PY","Acacia tetragonophylla"
"363","Acacia tortilis","Acacia","Acacia","Fabaceae","PY","Acacia tortilis"
"365","Acacia torulosa","Acacia","Acacia","Fabaceae","PY","Acacia torulosa"
"367","Acacia trachycarpa","Acacia","Acacia","Fabaceae","PY","Acacia trachycarpa"
"369","Acacia trachyphloia","Acacia","Acacia","Fabaceae","PY","Acacia trachyphloia"
"370","Acacia tumida","Acacia","Acacia","Fabaceae","PY","Acacia tumida"
"371","Acacia urophylla","Acacia","Acacia","Fabaceae","PY","Acacia urophylla"
"372","Acacia vassalii","Acacia","Acacia","Fabaceae","PY","Acacia vassalii"
"373","Acacia victoriae","Acacia","Acacia","Fabaceae","PY","Acacia victoriae"
"374","Acacia williamsonii","Acacia","Acacia","Fabaceae","PY","Acacia williamsonii"
"375","Acacia wilsonii","Acacia","Acacia","Fabaceae","PY","Acacia wilsonii"
"376","Acacia wrightii","Acacia","Acacia","Fabaceae","PY","Acacia wrightii"
"377","Acacia xanthophloea","Acacia","Acacia","Fabaceae","PY","Acacia xanthophloea"
"378","Acaena argentea","Acaena","Acaena","Rosaceae","ND","Acaena argentea"
"379","Acaena californica","Acaena","Acaena","Rosaceae","PD","Acaena californica"
"380","Acaena exigua","Acaena","Acaena","Rosaceae","PD","Acaena exigua"
"381","Acaena ovina","Acaena","Acaena","Rosaceae","PD","Acaena ovina"
"382","Acalypha ostryaefolia","Acalypha","Acalypha","Euphorbiaceae","PD","Acalypha ostryaefolia"
"384","Acamplopappus sphaerocephalus","Acamplopappus","Acamplopappus","Asteraceae","PD","Acamplopappus sphaerocephalus"
"385","Acanthocarpus preissii","Acanthocarpus","Acanthocarpus","Asparagaceae","PD","Acanthocarpus preissii"
"386","Acanthopanax garaldii","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax garaldii"
"387","Acanthopanax giraldii","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax giraldii"
"388","Acanthopanax henryi","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax henryi"
"389","Acanthopanax sessiliflorus","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax sessiliflorus"
"390","Acanthopanax setchuenensis","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax setchuenensis"
"391","Acanthopanax stenophyllus","Acanthopanax","Acanthopanax","Araliaceae","MPD","Acanthopanax stenophyllus"
"392","Acanthosiscyos naudiniana","Acanthosiscyos","Acanthosiscyos","Cucurbitaceae","PD","Acanthosicyos naudiniana"
"394","Acanthospermum hispidum","Acanthospermum","Acanthospermum","Asteraceae","PD","Acanthospermum hispidum"
"396","Acanthus ilicifolius","Acanthus","Acanthus","Acanthaceae","ND","Acanthus ilicifolius"
"397","Acca sellowiana","Acca","Acca","Myrtaceae","ND","Acca sellowiana"
"398","Acer albopurpurascens","Acer","Acer","Sapindaceae","PD","Acer albopurpurascens"
"399","Acer barbinerve","Acer","Acer","Sapindaceae","PD","Acer barbinerve"
"400","Acer buergerianum","Acer","Acer","Sapindaceae","PD","Acer buergerianum"
"401","Acer caesium","Acer","Acer","Sapindaceae","PD","Acer caesium"
"403","Acer campbellii","Acer","Acer","Sapindaceae","PD","Acer campbellii"
"404","Acer campestre","Acer","Acer","Sapindaceae","PD","Acer campestre"
"406","Acer caudatum","Acer","Acer","Sapindaceae","PD","Acer caudatum"
"408","Acer circinatum","Acer","Acer","Sapindaceae","PD","Acer circinatum"
"410","Acer davidii","Acer","Acer","Sapindaceae","PD","Acer davidii"
"412","Acer diabolicum","Acer","Acer","Sapindaceae","PD","Acer diabolicum"
"413","Acer diffusum","Acer","Acer","Sapindaceae","PD","Acer diffusum"
"414","Acer floridanum","Acer","Acer","Sapindaceae","PD","Acer floridanum"
"415","Acer ginnala","Acer","Acer","Sapindaceae","PD","Acer ginnala"
"416","Acer glabrum","Acer","Acer","Sapindaceae","PD","Acer glabrum"
"417","Acer griseum","Acer","Acer","Sapindaceae","PD","Acer griseum"
"418","Acer kawakamii","Acer","Acer","Sapindaceae","PD","Acer kawakamii"
"419","Acer macrophyllum","Acer","Acer","Sapindaceae","PD","Acer macrophyllum"
"421","Acer mandshuricum","Acer","Acer","Sapindaceae","PD","Acer mandshuricum"
"422","Acer maximowiczianum","Acer","Acer","Sapindaceae","PD","Acer maximowiczianum"
"423","Acer maximowiczii","Acer","Acer","Sapindaceae","PD","Acer maximowiczii"
"424","Acer mono","Acer","Acer","Sapindaceae","PD","Acer mono"
"425","Acer monspessulanum","Acer","Acer","Sapindaceae","PD","Acer monspessulanum"
"426","Acer morrisonense","Acer","Acer","Sapindaceae","PD","Acer morrisonense"
"427","Acer negundo","Acer","Acer","Sapindaceae","PD","Acer negundo"
"428","Acer oblongum","Acer","Acer","Sapindaceae","PD","Acer oblongum"
"429","Acer oblongum","Acer","Acer","Sapindaceae","ND","Acer oblongum"
"430","Acer opalus","Acer","Acer","Sapindaceae","PD","Acer opalus"
"433","Acer palmatum","Acer","Acer","Sapindaceae","PD","Acer palmatum"
"434","Acer pensylvanicum","Acer","Acer","Sapindaceae","PD","Acer pensylvanicum"
"435","Acer pictum","Acer","Acer","Sapindaceae","PD","Acer pictum"
"436","Acer platanoides","Acer","Acer","Sapindaceae","PD","Acer platanoides"
"437","Acer pseudoplatanus","Acer","Acer","Sapindaceae","PD","Acer pseudoplatanus"
"438","Acer pseudosieboldianum","Acer","Acer","Sapindaceae","PD","Acer pseudosieboldianum"
"439","Acer rubrum","Acer","Acer","Sapindaceae","PD","Acer rubrum"
"440","Acer saccharinum","Acer","Acer","Sapindaceae","ND","Acer saccharinum"
"441","Acer saccharum","Acer","Acer","Sapindaceae","PD","Acer saccharum"
"442","Acer saccharum -grandidentatum","Acer","Acer","Sapindaceae","PD","Acer saccharum subsp. grandidentatum"
"443","Acer semenovii","Acer","Acer","Sapindaceae","PD","Acer semenovii"
"444","Acer serrulatum","Acer","Acer","Sapindaceae","PD","Acer serrulatum"
"445","Acer sino-oblongum","Acer","Acer","Sapindaceae","PD","Acer sino-oblongum"
"446","Acer skutchii","Acer","Acer","Sapindaceae","ND","Acer skutchii"
"447","Acer sterculiaceum","Acer","Acer","Sapindaceae","PD","Acer sterculiaceum"
"449","Acer tataricum","Acer","Acer","Sapindaceae","PD","Acer tataricum"
"450","Acer tegumentosum","Acer","Acer","Sapindaceae","PD","Acer tegmentosum"
