"datasetID","study","entered.by","genus","species","variety","woody","crop","source.population","provenance.lat","provenance.long","provenance.altitude","continent","no.indiv.collected","year.collected","year.germination","storage.type","storage.time","storage.humidity","storage.temp","treatment","chill.temp","chill.duration","germ.temp","other.treatment","photoperiod","chemical","chemical.concent","trt.duration","scarification","scarif.type","soaking","soaked.in","soaking.duration","seed.mass.given","respvar","response","error.type","resp.error","reps","n.per.rep","germ.duration","germ.time.zero","figure","Notes","sp.name"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","86.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","13.4",NA,NA,"4","75","28","end of treatment","table4","b = a mathematical parameter controlling the shape and steepness of the curve, the larger the b value the steeper the rise toward ""a""","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","9.8000000000000007",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","10.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","8.3000000000000007",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b","6.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","7.5",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","9.4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","6.6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","8.8000000000000007",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c","7.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","7.4",NA,NA,"4","75","28","end of treatment","table4","TMGR = the time of maximum germination rate","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","9.1999999999999993",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","6.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","4.9000000000000004",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","8.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR","7.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","4.8",NA,NA,"4","75","28","end of treatment","table4","lag = the time of germination onset","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","5.6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","3.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","2.6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","4.8",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag","3.4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","2.7",NA,NA,"4","75","28","end of treatment","table4","D_lag-50 = the duration between lag and c","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","3.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","2.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","2.4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50","4.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","76.8",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","91.1",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","85.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","88.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","71.099999999999994",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a.min","66.2",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","8.1",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","10.3",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","8.1999999999999993",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","4.5999999999999996",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","b.min","5.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","8.3000000000000007",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","6.6",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","5.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","6.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","c.min","7.7",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","8.1",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","6.5",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","3.8",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","5.8",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","5.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","TMGR.min","7.4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","5.0999999999999996",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","3.6",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","1.6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","2.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","2.4",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","lag.min","3.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50.min","2.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50.min","1.9",NA,NA,"4","75","28","end of treatment","table4","c = the time required to achieve 50% germination, equivalent to R_50 germination speed","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50.min","1.9",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50.min","2",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.20",NA,NA,"20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","D_lag-50.min","3.6",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
