"datasetID","latbi","photoperiodCor","chillDuration","chillTemp","responseType","responseVarClean","responseValue","tempDay","tempNight","unspecTemp","minMax"
"1134_7","Tsuga_canadensis",NA,0,-16,"percent.germ.total","percent.germ",10,22,22,NA,"min"
"1134_7","Tsuga_canadensis","light",20,-16,"percent.germ.total","percent.germ",60,15,15,NA,"min"
"1134_7","Tsuga_canadensis","light",40,-16,"percent.germ.total","percent.germ",45,15,15,NA,"min"
"1134_7","Tsuga_canadensis","light",90,-16,"percent.germ.total","percent.germ",61,15,15,NA,"min"
"1134_7","Tsuga_caroliniana","light",0,NA,"percent.germ.total","percent.germ",40,30,20,NA,"min"
"1134_7","Tsuga_caroliniana","light",21,-16,"percent.germ.total","percent.germ",51,30,20,NA,"min"
"1134_7","Tsuga_caroliniana","light",0,-16,"percent.germ.total","percent.germ",82,22,22,NA,"min"
"1134_7","Tsuga_heterophylla","light",0,NA,"percent.germ.total","percent.germ",53,20,20,NA,"min"
"1134_7","Tsuga_heterophylla",NA,0,-16,"percent.germ.total","percent.germ",56,16,11,NA,"min"
"1134_7","Tsuga_heterophylla","light",0,NA,"percent.germ.total","percent.germ",86,15,15,NA,"min"
"1134_7","Tsuga_heterophylla","light",28,-16,"percent.germ.total","percent.germ",86,15,15,NA,"min"
"1134_7","Tsuga_mertensiana",NA,0,-16,"percent.germ.total","percent.germ",47,30,20,NA,"min"
"1134_7","Tsuga_mertensiana",NA,90,-16,"percent.germ.total","percent.germ",62,30,20,NA,"min"
"1134_7","Tsuga_mertensiana","light",0,NA,"percent.germ.total","percent.germ",81,20,20,NA,"min"
"1134_7","Tsuga_mertensiana","light",28,-16,"percent.germ.total","percent.germ",97,20,20,NA,"min"
"1134_7","Tsuga_mertensiana","light",90,-16,"percent.germ.total","percent.germ",72,20,20,NA,"min"
"1045_2","Shepherdia_argentea",NA,90,3,"percent.germ.total","percent.germ",93,20,NA,"20","min"
"1045_2","Shepherdia_argentea",NA,90,3,"percent.germ.total","percent.germ",71,20,NA,"20","min"
"1045_2","Shepherdia_argentea",NA,90,3,"percent.germ.total","percent.germ",94,3,NA,"3","min"
"1045_2","Shepherdia_rotundifolia",NA,30,3,"percent.germ.total","percent.germ",80,20,NA,"20","min"
"1045_2","Shepherdia_rotundifolia",NA,30,3,"percent.germ.total","percent.germ",80,20,NA,"20","min"
"1045_2","Shepherdia_rotundifolia",NA,30,3,"percent.germ.total","percent.germ",86,3,NA,"3","min"
"1038_1","Sequoiadendron_giganteum","light",0,NA,"percent.germ","percent.germ",43,15,15,NA,"min"
"1038_1","Sequoiadendron_giganteum","light",0,NA,"percent.germ","percent.germ",4,5,5,NA,"min"
"1038_1","Sequoiadendron_giganteum","light",0,NA,"percent.germ","percent.germ",40,20,20,NA,"min"
"1038_1","Sequoiadendron_giganteum","light",0,NA,"percent.germ","percent.germ",5,30,30,NA,"min"
"1038_1","Sequoiadendron_giganteum",NA,28,2,"percent.germ","percent.germ",38,30,20,NA,"min"
"1038_1","Sequoiadendron_giganteum",NA,0,NA,"percent.germ","percent.germ",30,30,20,NA,"min"
"1091_2","Taxodium_distichum","light",30,3,"germ.capacity","percent.germ",93,30,20,NA,"min"
"1091_2","Taxodium_distichum","light",30,3,"germ.capacity","percent.germ",74,30,20,NA,"min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",6,21,NA,"21","min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",0,21,NA,"21","min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",10,21,NA,"21","min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",0,21,NA,"21","min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",8,21,NA,"21","min"
"993_6","Rubus_idaeus",NA,60,NA,"percent.germ.total","percent.germ",0,21,NA,"21","min"
"936_4","Quercus_alba",NA,0,NA,"percent.germ.total","percent.germ",50,30,20,NA,"min"
"936_4","Quercus_alba",NA,0,NA,"percent.germ","percent.germ",39,30,20,NA,"min"
"936_4","Quercus_bicolor",NA,0,NA,"percent.germ.total","percent.germ",78,21,10,NA,"min"
"936_4","Quercus_bicolor",NA,0,NA,"percent.germ","percent.germ",65,21,10,NA,"min"
"936_4","Quercus_cerris",NA,0,NA,"percent.germ.total","percent.germ",33,22,20,NA,"min"
"936_4","Quercus_chrysolepis",NA,0,2,"percent.germ.total","percent.germ",56,30,20,NA,"min"
"936_4","Quercus_coccinea",NA,30,2,"percent.germ.total","percent.germ",94,30,20,NA,"min"
"936_4","Quercus_coccinea",NA,30,2,"percent.germ","percent.germ",97,30,20,NA,"min"
"936_4","Quercus_douglasii",NA,0,NA,"percent.germ.total","percent.germ",70,30,20,NA,"min"
"936_4","Quercus_dumosa",NA,30,2,"percent.germ.total","percent.germ",80,30,20,NA,"min"
"936_4","Quercus_ellipsoidalis",NA,60,2,"percent.germ.total","percent.germ",95,30,21,NA,"min"
"936_4","Quercus_ellipsoidalis",NA,60,2,"percent.germ","percent.germ",80,30,21,NA,"min"
"936_4","Quercus_falcata",NA,30,2,"percent.germ.total","percent.germ",75,23,23,NA,"min"
"936_4","Quercus_falcata",NA,30,2,"percent.germ","percent.germ",62,23,23,NA,"min"
"936_4","Quercus_garryana",NA,0,NA,"percent.germ.total","percent.germ",77,30,21,NA,"min"
"936_4","Quercus_ilicifolia",NA,60,2,"percent.germ.total","percent.germ",86,30,20,NA,"min"
"936_4","Quercus_imbricaria",NA,30,2,"percent.germ.total","percent.germ",28,24,16,NA,"min"
"936_4","Quercus_kelloggii",NA,30,2,"percent.germ.total","percent.germ",95,30,21,NA,"min"
"936_4","Quercus_laevis",NA,60,2,"percent.germ.total","percent.germ",82,27,23,NA,"min"
"936_4","Quercus_laurifolia",NA,14,2,"percent.germ.total","percent.germ",45,27,23,NA,"min"
"936_4","Quercus_lyrata",NA,0,NA,"percent.germ.total","percent.germ",84,21,10,NA,"min"
"936_4","Quercus_lyrata",NA,0,NA,"percent.germ","percent.germ",82,21,10,NA,"min"
"936_4","Quercus_lyrata",NA,42,2,"percent.germ.total","percent.germ",82,27,23,NA,"min"
"936_4","Quercus_macrocarpa",NA,30,2,"percent.germ.total","percent.germ",45,30,20,NA,"min"
"936_4","Quercus_macrocarpa",NA,30,2,"percent.germ","percent.germ",28,30,20,NA,"min"
"936_4","Quercus_michauxii",NA,0,NA,"percent.germ.total","percent.germ",49,32,21,NA,"min"
"936_4","Quercus_michauxii",NA,0,NA,"percent.germ","percent.germ",23,32,21,NA,"min"
"936_4","Quercus_michauxii",NA,30,2,"percent.germ.total","percent.germ",98,32,21,NA,"min"
"936_4","Quercus_michauxii",NA,30,2,"percent.germ","percent.germ",86,32,21,NA,"min"
"936_4","Quercus_muehlenbergii",NA,0,NA,"percent.germ.total","percent.germ",98,30,20,NA,"min"
"936_4","Quercus_muehlenbergii",NA,0,NA,"percent.germ","percent.germ",95,30,20,NA,"min"
"936_4","Quercus_nigra",NA,30,2,"percent.germ.total","percent.germ",60,30,20,NA,"min"
"936_4","Quercus_nigra",NA,30,2,"percent.germ","percent.germ",54,30,20,NA,"min"
"936_4","Quercus_pagoda",NA,60,2,"percent.germ.total","percent.germ",86,30,20,NA,"min"
"936_4","Quercus_pagoda",NA,60,2,"percent.germ","percent.germ",85,30,20,NA,"min"
"936_4","Quercus_petraea",NA,0,NA,"percent.germ.total","percent.germ",65,30,20,NA,"min"
"936_4","Quercus_phellos",NA,30,2,"percent.germ.total","percent.germ",67,32,21,NA,"min"
"936_4","Quercus_phellos",NA,30,2,"percent.germ","percent.germ",41,32,21,NA,"min"
"936_4","Quercus_phellos",NA,0,NA,"percent.germ.total","percent.germ",89,32,21,NA,"min"
"936_4","Quercus_phellos",NA,0,NA,"percent.germ","percent.germ",83,32,21,NA,"min"
"936_4","Quercus_michauxii",NA,0,NA,"percent.germ.total","percent.germ",82,27,18,NA,"min"
"936_4","Quercus_michauxii",NA,0,NA,"percent.germ","percent.germ",72,27,18,NA,"min"
"936_4","Quercus_robur",NA,0,NA,"percent.germ.total","percent.germ",81,25,16,NA,"min"
"936_4","Quercus_rubra",NA,30,2,"percent.germ.total","percent.germ",58,30,20,NA,"min"
"936_4","Quercus_rubra",NA,30,2,"percent.germ","percent.germ",39,30,20,NA,"min"
"936_4","Quercus_rubra",NA,70,2,"percent.germ.total","percent.germ",100,20,20,NA,"min"
"936_4","Quercus_rubra",NA,70,2,"percent.germ","percent.germ",80,20,20,NA,"min"
"936_4","Quercus_shumardii",NA,60,2,"percent.germ.total","percent.germ",72,32,21,NA,"min"
"936_4","Quercus_shumardii",NA,60,2,"percent.germ","percent.germ",53,32,21,NA,"min"
"936_4","Quercus_sinuata",NA,0,NA,"percent.germ.total","percent.germ",87,30,20,NA,"min"
"936_4","Quercus_sinuata",NA,0,NA,"percent.germ","percent.germ",81,30,20,NA,"min"
"936_4","Quercus_stellata",NA,0,NA,"percent.germ.total","percent.germ",54,30,20,NA,"min"
"936_4","Quercus_stellata",NA,0,NA,"percent.germ","percent.germ",42,30,20,NA,"min"
"936_4","Quercus_suber",NA,0,NA,"percent.germ.total","percent.germ",73,27,27,NA,"min"
"936_4","Quercus_texana",NA,60,2,"percent.germ.total","percent.germ",60,32,21,NA,"min"
"936_4","Quercus_vacciniifolia",NA,0,NA,"percent.germ.total","percent.germ",43,23,19,NA,"min"
"936_4","Quercus_vacciniifolia",NA,0,NA,"percent.germ","percent.germ",38,23,19,NA,"min"
"936_4","Quercus_variabilis",NA,0,NA,"percent.germ","percent.germ",55,25,NA,NA,"min"
"936_4","Quercus_velutina",NA,30,2,"percent.germ.total","percent.germ",47,27,18,NA,"min"
"936_4","Quercus_virginiana",NA,0,NA,"percent.germ.total","percent.germ",97,30,20,NA,"min"
"936_4","Quercus_virginiana",NA,0,NA,"percent.germ","percent.germ",92,30,20,NA,"min"
"936_4","Quercus_wislizeni",NA,30,2,"percent.germ.total","percent.germ",75,30,20,NA,"min"
"885_6","Prunus_umbellata",NA,150,0.6,"percent.germ","percent.germ",25,10,10,NA,"min"
"885_6","Prunus_americana",NA,90,0.6,"percent.germ","percent.germ",60,10,10,NA,"min"
"885_6","Prunus_armeniaca",NA,189,0.6,"percent.germ","percent.germ",95,3,3,NA,"min"
"885_6","Prunus_armeniaca",NA,80,0.6,"percent.germ","percent.germ",95,5,5,NA,"min"
"885_6","Prunus_avium",NA,90,0.6,"percent.germ","percent.germ",91,21,21,NA,"min"
"885_6","Prunus_avium",NA,120,0.6,"percent.germ","percent.germ",76,21,21,NA,"min"
"885_6","Prunus_avium",NA,189,0.6,"percent.germ","percent.germ",88,3,3,NA,"min"
"885_6","Prunus_cerasifera",NA,196,0.6,"percent.germ","percent.germ",65,1,7,NA,"min"
"885_6","Prunus_domestica",NA,189,0.6,"percent.germ","percent.germ",56,3,3,NA,"min"
"885_6","Prunus_domestica",NA,84,0.6,"percent.germ","percent.germ",89,18,18,NA,"min"
"885_6","Prunus_emarginata",NA,90,0.6,"percent.germ","percent.germ",4,24,24,NA,"min"
"885_6","Prunus_mahaleb",NA,189,0.6,"percent.germ","percent.germ",55,3,3,NA,"min"
"885_6","Prunus_padus",NA,210,0.6,"percent.germ","percent.germ",50,3,3,NA,"min"
"885_6","Prunus_pensylvanica",NA,90,0.6,"percent.germ","percent.germ",62,25,10,NA,"min"
"885_6","Prunus_persica",NA,98,0.6,"percent.germ","percent.germ",32,5,5,NA,"min"
"885_6","Prunus_persica",NA,70,0.6,"percent.germ","percent.germ",82,5,5,NA,"min"
"885_6","Prunus_serotina",NA,120,0.6,"percent.germ","percent.germ",86,26,10,NA,"min"
"885_6","Prunus_serotina",NA,189,0.6,"percent.germ","percent.germ",90,3,3,NA,"min"
"885_6","Prunus_virginiana",NA,120,0.6,"percent.germ","percent.germ",77,25,10,NA,"min"
"899_6","Pseudotsuga_macrocarpa","light",28,0,"mean.germ.capacity","percent.germ",31,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",21,0,"mean.germ.capacity","percent.germ",68,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",0,NA,"mean.germ.capacity","percent.germ",60,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",30,0,"mean.germ.capacity","percent.germ",78,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",0,NA,"mean.germ.capacity","percent.germ",84,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",20,0,"mean.germ.capacity","percent.germ",95,25,25,NA,"min"
"899_6","Pseudotsuga_menziesii","light",0,NA,"mean.germ.capacity","percent.germ",93,25,25,NA,"min"
"899_6","Pseudotsuga_menziesii","light",21,0,"mean.germ.capacity","percent.germ",81,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",0,NA,"mean.germ.capacity","percent.germ",75,30,20,NA,"min"
"899_6","Pseudotsuga_menziesii","light",20,0,"mean.germ.capacity","percent.germ",87,25,25,NA,"min"
"899_6","Pseudotsuga_menziesii","light",0,NA,"mean.germ.capacity","percent.germ",84,25,25,NA,"min"
"899_6","Pseudotsuga_menziesii","light",28,0,"mean.germ.capacity","percent.germ",84,30,20,NA,"min"
"703_4","Magnolia_virginiana",NA,58,NA,"mean.germ.capacity","percent.germ",93,18,18,NA,"min"
"977_3","Rosa_acicularis",NA,365,5,"percent.germ.total","percent.germ",57,5,NA,"5","min"
"977_3","Rosa_acicularis",NA,90,5,"percent.germ.total","percent.germ",90,16.67,NA,"20 and 10 then 20","min"
"977_3","Rosa_blanda",NA,90,5,"percent.germ.total","percent.germ",7,13,NA,"13","min"
"977_3","Rosa_blanda",NA,270,5,"percent.germ.total","percent.germ",53,13,NA,"13","min"
"977_3","Rosa_eglanteria",NA,570,5,"percent.germ.total","percent.germ",24,5,NA,"5","min"
"977_3","Rosa_eglanteria",NA,450,5,"percent.germ.total","percent.germ",40,5,NA,"5","min"
"977_3","Rosa_multiflora",NA,90,5,"percent.germ.total","percent.germ",45,15,NA,"15","min"
"977_3","Rosa_multiflora",NA,180,5,"percent.germ.total","percent.germ",60,15,NA,"15","min"
"977_3","Rosa_multiflora",NA,120,5,"percent.germ.total","percent.germ",72,5,NA,"5","min"
"977_3","Rosa_nutkana",NA,365,4.5,"percent.germ.total","percent.germ",65,4.5,NA,"4.5","min"
"977_3","Rosa_nutkana",NA,128,4.5,"percent.germ.total","percent.germ",48,18.5,NA,"18.5","min"
"977_3","Rosa_nutkana",NA,128,4.5,"percent.germ.total","percent.germ",72,18.5,NA,"18.5","min"
"977_3","Rosa_rugosa",NA,90,3,"percent.germ.total","percent.germ",32,20,NA,"20","min"
"977_3","Rosa_rugosa",NA,90,3,"percent.germ.total","percent.germ",60,20,NA,"20","min"
"977_3","Rosa_rugosa",NA,210,4,"percent.germ.total","percent.germ",85,20,NA,"20","min"
"977_3","Rosa_setigera",NA,120,5,"percent.germ.total","percent.germ",90,15,NA,"15","min"
"977_3","Rosa_setigera",NA,90,4.4,"percent.germ.total","percent.germ",48,18.3,NA,"18.3","min"
"977_3","Rosa_luciae",NA,60,5,"percent.germ.total","percent.germ",75,15,NA,"15","min"
"977_3","Rosa_luciae",NA,45,5,"percent.germ.total","percent.germ",76,18.3,NA,"18.3","min"
"604_5","Juglans_cinerea","light",90,1,"percent.germ","percent.germ",65,30,20,NA,"min"
"604_5","Juglans_hindsii",NA,156,1,"percent.germ","percent.germ",41,30,20,NA,"min"
"604_5","Juglans_major","light",120,1,"percent.germ","percent.germ",64,30,20,NA,"min"
"604_5","Juglans_microcarpa",NA,190,1,"percent.germ","percent.germ",46,30,20,NA,"min"
"604_5","Juglans_nigra","light",90,1,"percent.germ","percent.germ",50,30,20,NA,"min"
"604_5","Juglans_regia",NA,30,1,"percent.germ","percent.germ",82,30,20,NA,"min"
"554_5","Gaultheria_procumbens",NA,0,5,"percent.germ.total","percent.germ",8,30,20,NA,"min"
"554_5","Gaultheria_shallon",NA,60,3,"percent.germ.total","percent.germ",16,30,20,NA,"min"
"554_5","Gaultheria_shallon",NA,0,3,"percent.germ.total","percent.germ",38,30,20,NA,"min"
"554_5","Gaultheria_shallon",NA,30,3,"percent.germ.total","percent.germ",31,30,20,NA,"min"
"554_5","Gaultheria_shallon",NA,0,3,"percent.germ.total","percent.germ",76,21,21,NA,"min"
"554_5","Gaultheria_shallon",NA,0,3,"percent.germ.total","percent.germ",51,21,16,NA,"min"
"554_5","Gaultheria_shallon",NA,0,3,"percent.germ.total","percent.germ",51,16,10,NA,"min"
"554_5","Gaultheria_shallon",NA,0,3,"percent.germ.total","percent.germ",41,10,4,NA,"min"
"554_5","Gaultheria_shallon",NA,60,3,"percent.germ.total","percent.germ",45,21,16,NA,"min"
"554_5","Gaultheria_shallon",NA,60,3,"percent.germ.total","percent.germ",40,16,10,NA,"min"
"554_5","Gaultheria_shallon",NA,60,3,"percent.germ.total","percent.germ",50,10,4,NA,"min"
"554_5","Gaultheria_shallon",NA,150,3,"percent.germ.total","percent.germ",59,21,16,NA,"min"
"554_5","Gaultheria_shallon",NA,150,3,"percent.germ.total","percent.germ",40,10,4,NA,"min"
"523_5","Fagus_sylvatica",NA,42,NA,"percent.germ.total","percent.germ",81,30,20,NA,"min"
"672_Table.1","Liquidambar_styraciflua","light",0,3,"percent.germ","percent.germ",85,30,20,NA,"min"
"672_Table.1","Liquidambar_styraciflua","light",30,3,"percent.germ","percent.germ",95,30,20,NA,"min"
"672_Table.1","Liquidambar_styraciflua","dark",15,3,"percent.germ","percent.germ",85,30,30,NA,"min"
"248_5","Amelanchier_alnifolia","light",30,1,"percent.germ","percent.germ",10,30,20,NA,"min"
"248_5","Amelanchier_arborea","light",90,1,"percent.germ","percent.germ",54,30,20,NA,"min"
"248_5","Amelanchier_laevis",NA,60,1,"percent.germ","percent.germ",61,20,20,NA,"min"
"454_5","Crataegus_holmesiana","light",180,2,"percent.germ","percent.germ",35,8,2,NA,"min"
"454_5","Crataegus_crus-galli","light",135,7,"percent.germ","percent.germ",73,21,21,NA,"min"
"454_5","Crataegus_douglasii","light",84,5,"percent.germ","percent.germ",30,21,21,NA,"min"
"454_5","Crataegus_mollis","light",120,5,"percent.germ","percent.germ",42,21,21,NA,"min"
"454_5","Crataegus_phaenopyrum","light",135,5,"percent.germ","percent.germ",71,21,21,NA,"min"
"454_5","Crataegus_punctata","light",135,5,"percent.germ","percent.germ",60,21,21,NA,"min"
