"datasetID","study","entered.by","genus","species","variety","woody","crop","source.population","provenance.lat","provenance.long","provenance.altitude","continent","no.indiv.collected","year.collected","year.germination","storage.type","storage.time","storage.humidity","storage.temp","treatment","chill.temp","chill.duration","germ.temp","other.treatment","photoperiod","chemical","chemical.concent","trt.duration","scarification","scarif.type","soaking","soaked.in","soaking.duration","seed.mass.given","respvar","response","error.type","resp.error","reps","n.per.rep","germ.duration","germ.time.zero","figure","Notes","chillTemp","chillDuration","chillTempUnc","chillTempCycle","chillLightCycle","germTempGen","germTemp","germDuration","germTempClass","germTempDay","germTempNight","germPhotoperiod","germPhotoperiodDay","germPhotoperiodNight","scarifTypeGen","scarifTypeSpe","chemicalCor","storageType","storageDetails","storageTemp","storageDuration","responseVar","responseValueNum","responseErrorType","photoperiodCor","treatmentOverview","chemicalConcent","chemicalConcentUnit","datasetIDstudy","latbi","provLatLon","provLatLonAlt","idspp"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","213.5",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","7.4",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","214","percent.germ",7.4,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","213.5",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","7.8",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","214","percent.germ",7.8,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","213.5",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","8.1",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","214","percent.germ",8.1,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","244",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.5",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","244","percent.germ",0.5,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","244",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.6",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","244","percent.germ",0.6,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","244",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.6",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","244","percent.germ",0.6,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","274.5",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.1",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","274","percent.germ",0.1,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","274.5",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.2",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","274","percent.germ",0.2,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","274.5",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.2",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","274","percent.germ",0.2,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","305",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","0.1",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","305","percent.germ",0.1,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
