"","datasetID","study","genus","species","variety","provLatLonAlt","treatment","storageType","storageNoStratTemp","storageNoStratDur","storageDetails","scarifTypeGen","scarifTypeSpe","chemicalCor","chemicalConcent","soaking","soaked.in","soaking.duration","chillTemp","chillDuration","chillTempUnc","chillTempCycle","chillLightCycle","stratSequence_condensed","stratTemp_condensed","stratDur_condensed","germTempGen","germTemp","germDuration","germTempClass","germTempDay","germTempNight","germPhotoperiod","germPhotoperiodDay","germPhotoperiodNight","other.treatment","responseVar","responseValueNum","uniqueID","genusspecies","storConditions"
"13202","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","2","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,990,"Picea_glauca","NA NA NA"
"13205","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","3","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,991,"Picea_glauca","NA NA NA"
"13206","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","4","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,992,"Picea_glauca","NA NA NA"
"13207","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","5","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",10.109,993,"Picea_glauca","NA NA NA"
"13208","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","6","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",46.721,994,"Picea_glauca","NA NA NA"
"13209","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","7","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",76.23,995,"Picea_glauca","NA NA NA"
"13210","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","8","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",88.616,996,"Picea_glauca","NA NA NA"
"13211","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","9","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",92.623,997,"Picea_glauca","NA NA NA"
"13192","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","10","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",92.987,998,"Picea_glauca","NA NA NA"
"13193","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","11","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.352,999,"Picea_glauca","NA NA NA"
"13194","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","12","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.716,1000,"Picea_glauca","NA NA NA"
"13195","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","13","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.534,1001,"Picea_glauca","NA NA NA"
"13196","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","14","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.534,1002,"Picea_glauca","NA NA NA"
"13197","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","15","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.534,1003,"Picea_glauca","NA NA NA"
"13198","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","16","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.534,1004,"Picea_glauca","NA NA NA"
"13199","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","17","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.534,1005,"Picea_glauca","NA NA NA"
"13200","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","18","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.716,1006,"Picea_glauca","NA NA NA"
"13201","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","19","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.716,1007,"Picea_glauca","NA NA NA"
"13203","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","20","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.08,1008,"Picea_glauca","NA NA NA"
"13204","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","21","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.444,1009,"Picea_glauca","NA NA NA"
"13233","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","1","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,1052,"Picea_glauca","NA NA NA"
"13244","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","2","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,1053,"Picea_glauca","NA NA NA"
"13247","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","3","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,1054,"Picea_glauca","NA NA NA"
"13248","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","4","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,1055,"Picea_glauca","NA NA NA"
"13249","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","5","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,1056,"Picea_glauca","NA NA NA"
"13250","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","6","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",4.645,1057,"Picea_glauca","NA NA NA"
"13251","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","7","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",24.681,1058,"Picea_glauca","NA NA NA"
"13252","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","8","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",46.903,1059,"Picea_glauca","NA NA NA"
"13253","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","9","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",67.122,1060,"Picea_glauca","NA NA NA"
"13234","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","10","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",76.594,1061,"Picea_glauca","NA NA NA"
"13235","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","11","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",82.423,1062,"Picea_glauca","NA NA NA"
"13236","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","12","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",85.883,1063,"Picea_glauca","NA NA NA"
"13237","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","13","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",86.976,1064,"Picea_glauca","NA NA NA"
