"","Species","Flowering","Fruit.ripening","Seed.dispersal","pdf_table_number","genus_name","Color.of.ripe.fruit","Height.of.mature.trees..m.","Year.first.cultivated","Location","Color.of.ripe.fruits","Fruit.drop","Location....altitude.","Location....elevation.","Height.at.maturity..m.","Growth.habit...maximum.height","Flower.color","Flowering.habit","Dispersal","Cone.ripening","Seed.ripening...dispersal","Origin","Color.of.ripe.fruit.","Seed.size..mm.","Diam.of.ripe.fruit..mm.","Cleaned..kg","seeds.wt..lb","Fruit...seed.ripening","Location...elevation..m.","Tree.ht..m.","Age..yrs..","Interval..yrs."
"15","spp. canadensis","June-July","July-Sept","Aug-Oct","2","Sambucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","spp. cerulea","May-July","Aug-Sept","Aug-Oct","2","Sambucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","S. racemosa var. racemosa","Apr-July","June-Aug","June-Nov","2","Sambucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","M. baccata","May","Aug-Oct",NA,"2","Malus","Red or yellow","12.2","1784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","M. coronaria","Mar-May","Sept-Nov",NA,"2","Malus","Yellow-green","9.2","1724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","M. floribunda","May","",NA,"2","Malus","Red or yellow","3.6-10.0","1862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","M. fusca","","Oct-Nov",NA,"2","Malus","Green-yellow to yellow & red","8-12.2","1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","M. ioensis","May-June","Sept-Oct",NA,"2","Malus","Greenish waxy","","1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","M. pumila","May","Aug-Oct",NA,"2","Malus","Yellow to red","15.4","Ancient times",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","M. X robusta","Apr-May","",NA,"2","Malus","Red or yellow-green","","1815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","M. sargentii","","",NA,"2","Malus","Red","1.8-2.5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","R. allegheniensis","May-July","Aug-Sept","Aug-Sept","3","Rubus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","R. canadensis","June-July","July-Sept","July-Sept","3","Rubus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","R. laciniatus","June-Aug","July-Oct","Sept-Oct","3","Rubus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","R. hispidus","June-early Sept","Mid-Aug-Oct","Aug-Oct","3","Rubus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","R. procerus","June-Aug","Aug-Sept","","3","Rubus",NA,NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","R. ursinus","June-July","Aug-Sept","Oct-Nov","3","Rubus",NA,NA,NA,"Pacific Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","R. idaeus","Late May-July","Late June-Oct","July-Oct","3","Rubus",NA,NA,NA,"Rangewide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","R. occidentalis","Apr-June","June-Aug","June-Aug","3","Rubus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","R. spectabilis","May-June","June-Aug","June-Aug","3","Rubus",NA,NA,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","","Apr-May","May-July","June-July","3","Rubus",NA,NA,NA,"Oregon-Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","R. chamaemorus","June-July","July-Aug","Aug-Sept","3","Rubus",NA,NA,NA,"Boreal North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","R. odoratus","June-Sept","July-Sept","July-Sept","3","Rubus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","R. parviflorus","May-June","June-July","July-Aug","3","Rubus",NA,NA,NA,"Pacific Northwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","M. alba","May","July-Aug",NA,"2","Morus",NA,NA,NA,"E US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","","May","June-Aug",NA,"2","Morus",NA,NA,NA,"Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","","Apr","Late May-June",NA,"2","Morus",NA,NA,NA,"Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","M. microphylla","Apr-May","June-Aug",NA,"2","Morus",NA,NA,NA,"SW US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","M. rubra","Apr-May","June-Aug",NA,"2","Morus",NA,NA,NA,"E US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","N. aquatica","Mar-Apr","Sept-Oct",NA,"2","Nyssa",NA,NA,NA,NA,"Dark purple","Oct-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","N. biflora","Apr-June","Aug-Oct",NA,"2","Nyssa",NA,NA,NA,NA,"Blue-black","Sept-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","N. ogeche","Mar-May","July-Aug",NA,"2","Nyssa",NA,NA,NA,NA,"Red","Nov-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","N. sylvatica","Apr-June","Sept-Oct",NA,"2","Nyssa",NA,NA,NA,NA,"Blue-black","Sept-Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","P. quinquefolia P. tricuspidata","June-Aug June-July","July-Oct Sept-Oct",NA,"2","Parthenocissus",NA,NA,NA,NA,NA,"Aug-Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","P. alleghaniensis","Late Apr-May","Aug-Sept","","2","Prunus",NA,NA,NA,"Scattered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","P. americana","Mar-May","June-Oct.","June-Oct","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","P. angustifolia","Mar-Apr","May-July","May-July","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","P. armeniaca","Feb-Mar","May-June","","2","Prunus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","","Mar-Apr","July","July-Aug*","2","Prunus",NA,NA,NA,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","P. avium","Apr-May","June-July","","2","Prunus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","P. caroliniana","Mar-Apr","Sept-Oct","","2","Prunus",NA,NA,NA,"SE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","P. cerasifera","May 12t","July 15-Aug 10","","2","Prunus",NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","","Apr-May","Aug","","2","Prunus",NA,NA,NA,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","P. cerasus","Apr-May","June-July","","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","","May 8-18+","June-July","","2","Prunus",NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","P. domestica","May 12-21+","July 15-Oct I","","2","Prunus",NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","","May","Aug","","2","Prunus",NA,NA,NA,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","P. d. var. insititia","Late Apr-May","Aug-Sept","","2","Prunus",NA,NA,NA,"US & Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","","May 16-21+","Aug 20-Oct I","","2","Prunus",NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","P. dulcis","Mid Feb-Mar","Late Aug-Oct*","","2","Prunus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","P. emarginata","Apr-June","July-Sept","Aug-Sept*","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","P. hortulana","Mar-May","Aug-Oct","","2","Prunus",NA,NA,NA,"SE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","P. ilicifolia","Mar-May","Sept-Oct*","Oct-Dec","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","P. laurocerasus","Apr-May","July-Aug","","2","Prunus",NA,NA,NA,"SE Europe & Asia Minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","P. mahaleb","Apr-May","July","","2","Prunus",NA,NA,NA,"NE US & SE Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","P. maritima","Apr-June","Sept-Oct","","2","Prunus",NA,NA,NA,"Maine to Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","P. munsoniana","Mar-May","July-Sept*","","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","","May 20-24-","July 15-Sept 10","","2","Prunus",NA,NA,NA,"Geneva, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","P. padus","End Apr-early May","Late June-July","","2","Prunus",NA,NA,NA,"Philadelphia & vicinity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","","May-early June","June-Aug","Aug*","2","Prunus",NA,NA,NA,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","P. pensylvanica","Late Mar-early July","July-Sept","","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","","May I-15","Late July-early","","2","Prunus",NA,NA,NA,"Warren Co., Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","P. persica","Apr-May","July-Sept","","2","Prunus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","","Feb-Apr","May-Aug","","2","Prunus",NA,NA,NA,"SE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","P. pumila","May-July","July-Sept","","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","P. pumila. var. besseyi","Apr-May","July-Sept","July-Sept","2","Prunus",NA,NA,NA,"Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","P. serotina","Early Apr","June-July","July","2","Prunus",NA,NA,NA,"Central Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","","Late May-early June","Late Aug-Sept","Aug 20-Sept; rarely Nov","2","Prunus",NA,NA,NA,"N Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","","Late Apr-June 10","June-Sept.","July I-Sept","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","P. spinosa","Apr-May","Aug-Sept","Sept","2","Prunus",NA,NA,NA,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","P. subcordata","Mar-May","Aug-Sept","","2","Prunus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","P. tomentosa","Early May","Late July","Early Aug","2","Prunus",NA,NA,NA,"Cheyenne, Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","","May 10-15","July 10-15","July 15-Sept I","2","Prunus",NA,NA,NA,"Bismarck, N Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","P. umbellata","Mar-Apr","Aug-Sept","","2","Prunus",NA,NA,NA,"SE United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","P. virginiana","Late Apr-early June","July-Oct","","2","Prunus",NA,NA,NA,"E US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","","May 10-20","Early Aug","","2","Prunus",NA,NA,NA,"Warren Co., Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","","","Aug-Sept*","","2","Prunus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","M. aquifolium","Late Apr-early May","Late July-early Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mineral Co., Montana (975 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","","Mar-May","Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson Co., Oregon (685 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","M. fremontii","May-June","Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas, NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","","May-June","July -Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah & California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","M. haematocarpa","Spring","June-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas & SW US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","M. nervosa","Early Apr","Mid-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clackamas Co., Oregon (90 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","","Mid-May","Late Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson Co., Oregon (990 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","","Apr-June","July-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","M. nevinii","Mar-May","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","M. repens","May -June","June-July",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Hills, South Dakota (1,830 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","","Apr- May","Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","S. albus","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","var. albus","June I-July 31","Sept I-Oct 31",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","","May I-Sept 30","Aug I-Oct 31",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","","June 5-Aug 5","Aug - Sept 5",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"700 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","var. laevigatus","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Missoula Co., Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","","June 20-Aug 15","Aug 15-Sept 30",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"1,000 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","","July I-July 30","Aug 25-Sept 20",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"1,300 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","","July 15-Aug 30","Sept 10-Oct 5",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"1,650 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","","July 25-Sept 5","Sept 25-Oct 25",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"2,000 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","S. occidentalis","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Pennington Co., South Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","","June I-July 31","Sept I-Oct 31",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"750 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","S. orbiculatus","July I-Aug 31","Sept I-heavy frost",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","S. oreophilus","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Wasatch Plateau, Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","","June 17-June 26","Aug 20-Sept 18",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"2,230 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
