table,measured,population,strart,year seed collected,after ripening duration,value,error,,,
,,perry,4,2007,1,1.48,0.2,,,
,,perry,0,2007,4,2.87 :t 0.58,,,2.87 , 0.58
,,perry,1,2007,4,5.90 :t 0.14,,,5.90 , 0.14
,,perry,2,2007,4,3.80 :t 0.95,,,3.80 , 0.95
,,perry,3,2007,4,4.29 :t 0.17,,,4.29 , 0.17
,,perry,4,2007,4,6.00 ± 0.14,,,#VALUE!,#VALUE!
,,perry,0,2007,8,5.44 :t 0.38,,,5.44 , 0.38
,,perry,1,2007,8,5.44 :t 0.53,,,5.44 , 0.53
,,perry,2,2007,8,5.07 :t 0.54,,,5.07 , 0.54
,,perry,3,2007,8,5.00 :t 0.97,,,5.00 , 0.97
,,perry,4,2007,8,5.39 :t 0.32,,,5.39 , 0.32
,,perry,0,2007,11,3.37 :t 1.13,,,3.37 , 1.13
,,perry,1,2007,11,4.00 :t 0.26,,,4.00 , 0.26
,,perry,2,2007,11,4.52 :t 0.65,,,4.52 , 0.65
,,perry,3,2007,11,1.82 :t 0.78,,,1.82 , 0.78
,,perry,4,2007,11,3.17 :t 1.06,,,3.17 , 1.06
,,pilot,0,2007,1,0.04 :t 0.04,,,0.04 , 0.04
,,pilot,1,2007,1,0.05 :t 0.03,,,0.05 , 0.03
,,pilot,2,2007,1,0.11 :t 0.09,,,0.11 , 0.09
,,pilot,3,2007,1,0.17 :t 0.10,,,0.17 , 0.10
,,pilot,4,2007,1,0.18 :t 0.11,,,0.18 , 0.11
,,pilot,0,2007,4,0.29 :t 0.05,,,0.29 , 0.05
,,pilot,1,2007,4,1.64 :t 0.47,,,1.64 , 0.47
,,pilot,2,2007,4,0.81 :t 0.29,,,0.81 , 0.29
,,pilot,3,2007,4,0.47 :t 0.17,,,0.47 , 0.17
,,pilot,4,2007,4,3.11 :t 0.39,,,3.11 , 0.39
,,pilot,0,2007,8,0.66 :t 0.23,,,0.66 , 0.23
,,pilot,1,2007,8,1.34 :t 0.24,,,1.34 , 0.24
,,pilot,2,2007,8,2.21 :t 0.19,,,2.21 , 0.19
,,pilot,3,2007,8,1.90 :t 0.03,,,1.90 , 0.03
,,pilot,4,2007,8,1.67 :t 0.27,,,1.67 , 0.27
,,pilot,0,2007,11,1.63 :t 0.32,,,1.63 , 0.32
,,pilot,1,2007,11,1.16 :t 0.48,,,1.16 , 0.48
,,pilot,2,2007,11,1.05 :t 0.38,,,1.05 , 0.38
,,pilot,3,2007,11,1.02 :t 0.34,,,1.02 , 0.34
,,pilot,4,2007,11,1.07 :t 0.17,,,1.07 , 0.17
,,soldiers,0,2007,1,0.02 :t 0.02,,,0.02 , 0.02
,,soldiers,1,2007,1,0.07 :t 0.07,,,0.07 , 0.07
,,soldiers,2,2007,1,0.0 :t 0.0,,,0.0 , 0.0
,,soldiers,3,2007,1,0.06 :t 0.04,,,0.06 , 0.04
,,soldiers,4,2007,1,0.0 :t 0.0,,,0.0 , 0.0
,,soldiers,0,2007,4,0.10 :t 0.04,,,0.10 , 0.04
,,soldiers,1,2007,4,0.10 :t 0.06,,,0.10 , 0.06
,,soldiers,2,2007,4,0.36 :t 0.11,,,0.36 , 0.11
,,soldiers,3,2007,4,0.32 :t 0.18,,,0.32 , 0.18
,,soldiers,4,2007,4,0.62 :t 0.17,,,0.62 , 0.17
,,soldiers,0,2007,8, 1.01 :t 0.26,,, 1.01 ,t 0.26
,,soldiers,1,2007,8,0.71 :t 0.33,,,0.71 , 0.33
,,soldiers,2,2007,8,1.36 :t 0.65,,,1.36 , 0.65
,,soldiers,3,2007,8,0.53 :t 0.12,,,0.53 , 0.12
,,soldiers,4,2007,8,0.41 :t 0.17 ,,,0.41 ,0.17 
,,soldiers,0,2007,11,1.35 :t 0.10,,,1.35 , 0.10
,,soldiers,1,2007,11,0.47 :t 0.20,,,0.47 , 0.20
,,soldiers,2,2007,11,0.94 :t 0.46,,,0.94 , 0.46
,,soldiers,3,2007,11,0.29 :t 0.13,,,0.29 , 0.13
,,soldiers,4,2007,11,0.65 :t 0.21,,,0.65 , 0.21
,,,,,,,,,,
,,perry,0,2008,1,4.62 :t 0.64,,,4.62 , 0.64
,,perry,1,2008,1,4.39 :t 0.40,,,4.39 , 0.40
,,perry,2,2008,1,5.59 :t 0.49,,,5.59 , 0.49
,,perry,3,2008,1,6.03 :t 0.77,,,6.03 , 0.77
,,perry,4,2008,1,6.91 :t 0.94,,,6.91 , 0.94
,,perry,0,2008,4,4.19 :t 0.05,,,4.19 , 0.05
,,perry,1,2008,4,4.58 :t 0.31,,,4.58 , 0.31
,,perry,2,2008,4,5.80 :t 0.39,,,5.80 , 0.39
,,perry,3,2008,4,6.25 :t 0.34,,,6.25 , 0.34
,,perry,4,2008,4,5.06 :t 0.23 ,,,5.06 ,0.23 
,,perry,0,2008,8,2.97 :t 0.49,,,2.97 , 0.49
,,perry,1,2008,8,2.76 :t 0.32,,,2.76 , 0.32
,,perry,2,2008,8,3.98 :t 0.19,,,3.98 , 0.19
,,perry,3,2008,8,3.78 :t 0.42,,,3.78 , 0.42
,,perry,4,2008,8,4.41 :t 0.49,,,4.41 , 0.49
,,perry,0,2008,11,1.75 :t 0.11,,,1.75 , 0.11
,,perry,1,2008,11,0.96 :t 0.38,,,0.96 , 0.38
,,perry,2,2008,11,1.77 :t 0.18,,,1.77 , 0.18
,,perry,3,2008,11,2.01 :t 0.37,,,2.01 , 0.37
,,perry,4,2008,11,3.08 :t 0.36,,,3.08 , 0.36
,,pilot,0,2008,1,0.77 :t 0.33,,,0.77 , 0.33
,,pilot,1,2008,1,0.18 :t 0.11,,,0.18 , 0.11
,,pilot,2,2008,1,0.77 :t 0.47,,,0.77 , 0.47
,,pilot,3,2008,1,1.93 :t 0.28,,,1.93 , 0.28
,,pilot,4,2008,1,1.30 :t 0.57,,,1.30 , 0.57
,,pilot,0,2008,4,0.90 :t 0.14,,,0.90 , 0.14
,,pilot,1,2008,4,1.22 :t 0.16,,,1.22 , 0.16
,,pilot,2,2008,4,0.05 :t 0.05,,,0.05 , 0.05
,,pilot,3,2008,4,1.89 :t 0.30,,,1.89 , 0.30
,,pilot,4,2008,4,0.54 :t 0.20 ,,,0.54 ,0.20 
,,pilot,0,2008,8,1.22 :t 0.25,,,1.22 , 0.25
,,pilot,1,2008,8,1.01 :t 0.24,,,1.01 , 0.24
,,pilot,2,2008,8,1.81 :t 0.25,,,1.81 , 0.25
,,pilot,3,2008,8,1.25 :t 0.25,,,1.25 , 0.25
,,pilot,4,2008,8,2.00 :t 0.25,,,2.00 , 0.25
,,pilot,0,2008,11,0.26 :t 0.15,,,0.26 , 0.15
,,pilot,1,2008,11,0.58 :t 0.22,,,0.58 , 0.22
,,pilot,2,2008,11,0.40 :t 0.10,,,0.40 , 0.10
,,pilot,3,2008,11,0.68 :t 0.09,,,0.68 , 0.09
,,pilot,4,2008,11,0.96 :t 0.22,,,0.96 , 0.22
,,soldiers,0,2008,1,0.42 ± 0.12,,,#VALUE!,#VALUE!
,,soldiers,1,2008,1,0.14 :t 0.06,,,0.14 , 0.06
,,soldiers,2,2008,1,0.11 :t 0.05,,,0.11 , 0.05
,,soldiers,3,2008,1,0.33 :t 0.09,,,0.33 , 0.09
,,soldiers,4,2008,1,0.10 :t 0.06,,,0.10 , 0.06
,,soldiers,0,2008,4,2.10 ± 0.46,,,#VALUE!,#VALUE!
,,soldiers,1,2008,4,1.60 :t 0.08,,,1.60 , 0.08
,,soldiers,2,2008,4,2.41 :t 0.29,,,2.41 , 0.29
,,soldiers,3,2008,4,1.47 :t 0.22,,,1.47 , 0.22
,,soldiers,4,2008,4,0.73 :t 0.17,,,0.73 , 0.17
,,soldiers,0,2008,8,1.13 ± 0.08,,,#VALUE!,#VALUE!
,,soldiers,1,2008,8,0.96 :t 0.25,,,0.96 , 0.25
,,soldiers,2,2008,8,0.71 :t 0.05,,,0.71 , 0.05
,,soldiers,3,2008,8,0.78 :t 0.30,,,0.78 , 0.30
,,soldiers,4,2008,8,1.16 :t 0.45,,,1.16 , 0.45
,,soldiers,0,2008,11,0.58 :t 0.29,,,0.58 , 0.29
,,soldiers,1,2008,11,0.04 :t 0.04,,,0.04 , 0.04
,,soldiers,2,2008,11,0.10 :t 0.04,,,0.10 , 0.04
,,soldiers,3,2008,11,0.20 :t 0.15,,,0.20 , 0.15
,,soldiers,4,2008,11,0.35 :t 0.11,,,0.35 , 0.11
