db,genus,family,order,class,phylum,kingdom,division
ncbi,Casuarina,Casuarinaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Celtus,NA,NA,NA,NA,NA,NA
ncbi,Centaurea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cercis,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Chimonanthus,Calycanthaceae,Laurales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Chionanthus,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cichorium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cicuta,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cistanche,Orobanchaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Citrullus,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Clematis,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cleome,Cleomaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Clinopodium,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Colutea,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Combretum,Combretaceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Corchorus,Malvaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Corema,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Coreopsis,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cornus,Cornaceae,Cornales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Corydalis,Papaveraceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Corylopsis,Hamamelidaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Corylus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cotoneaster,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Crambe,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Crataegus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cryptogramma,Pteridaceae,Polypodiales,Polypodiopsida,Streptophyta,Viridiplantae,NA
ncbi,Cupressus,Cupressaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Cuscuta,Convolvulaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cynodon,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cyperus,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cypripedium,Orchidaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cytisus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dalbergia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Daphne,Thymelaeaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Daphniphyllaceae,Daphniphyllaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Deginia,NA,NA,NA,NA,NA,NA
ncbi,Dianthus,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dichotomanthes,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Digitaria,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dioscorea,Dioscoreaceae,Dioscoreales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Distichlis,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Distylium,Hamamelidaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dorema,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dracocephalum,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Dracontium,Araceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Echinacea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Echinochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Echinocystis,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Elaeagnus,Elaeagnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Emblica,NA,NA,NA,NA,NA,NA
ncbi,Ephedra,Ephedraceae,Ephedrales,Gnetopsida,Streptophyta,Viridiplantae,NA
ncbi,Epidemium,NA,NA,NA,NA,NA,NA
ncbi,Erechtites,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eremochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eriobotrya,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eryngium,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eucalyptis,NA,NA,NA,NA,NA,NA
ncbi,Eucalyptus,Myrtaceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eucomis,Hyacinthaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Eustoma,Gentianaceae,Gentianales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ferula,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Festuca,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Fraxinus,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Galax,Diapensiaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gaura,Onagraceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Geranium,Geraniaceae,Geraniales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ginkgo,Ginkgoaceae,Ginkgoales,Ginkgoopsida,Streptophyta,Viridiplantae,NA
ncbi,Glehnia,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Glyceria,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Glycine,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gomphrena,Amaranthaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gossypium,Malvaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Grindelia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gunnera,Gunneraceae,Gunnerales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Gymnostemma,NA,NA,NA,NA,NA,NA
ncbi,Gynostemma,Cucurbitaceae,Cucurbitales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Halophila,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Heliopsis,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Heracleum,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hibiscus,Malvaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hippophae,Elaeagnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hladnikia,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hovenia,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hymenocrater,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Idesia,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ilex,Aquifoliaceae,Aquifoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Imperata,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Iphigenia,Colchicaceae,Liliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Iris,Iridaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Iva,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Jasminus,NA,NA,NA,NA,NA,NA
ncbi,Jatropha,Euphorbiaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Juglans,Juglandaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Juncus,Juncaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Juniperus,Cupressaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Kalopanax,Araliaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Kelussia,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Keteleeria,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Koelreuteria,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Leontice,Berberidaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lepidium,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lepyrodidis,NA,NA,NA,NA,NA,NA
ncbi,Leymus,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lilium,Liliaceae,Liliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lilium x,NA,NA,NA,NA,NA,NA
ncbi,Limnanthes,Limnanthaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Liquidambar,Altingiaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Liriodendron,Magnoliaceae,Magnoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lithocarpus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Litsea,Lauraceae,Laurales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lolium,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lonicera,Caprifoliaceae,Dipsacales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Loranthus,Loranthaceae,Santalales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lupinus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lychnis,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lycium,Solanaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Lysimachia,Primulaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Maackia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Machilus,Lauraceae,Laurales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Magnolia,Magnoliaceae,Magnoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Magnoliaceae,Magnoliaceae,Magnoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Malus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Malvaceae,Malvaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Manglietia,NA,NA,NA,NA,NA,NA
ncbi,Meconopsis,Papaveraceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Medicago,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Melicytus,Violaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Michelia,Magnoliaceae,Magnoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Mimulus,Phrymaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Miscanthus,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Mosla,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Mucuna,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Myagrum,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Myrciaria,Myrtaceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Myrica,Myricaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Nandina,Berberidaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Nepeta,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Nicandra,Solanaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Nothofagus,Nothofagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Nymphoides,Menyanthaceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Oenothera,Onagraceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Olea,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Opuntia,Cactaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Oryza,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ottelia,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Paeonia,Paeoniaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Panax,Araliaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Panicum,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Paris,Melanthiaceae,Liliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Parkia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pasania,NA,NA,NA,NA,NA,NA
ncbi,Passiflora,Passifloraceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Paulownia,Paulowniaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pedicularis,Orobanchaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pennisetum,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Penstemon,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Penthorum,Penthoraceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Phlox,Polemoniaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Phoenix,Arecaceae,Arecales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Pimpinella,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pinus,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Plantaginaceae,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Platycodon,Campanulaceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Polygonatum,Asparagaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Potentilla,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Primula,Primulaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Prunus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pseudostellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pseudotsuga,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Pterocarpus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pterocarya,Juglandaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pterostyrax,Styracaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Puccinellia,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pulsatilla,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Pyrus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Quercus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Raphanus,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Rhamnus,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Rhaponticum,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Rhodeola,NA,NA,NA,NA,NA,NA
ncbi,Rhododendron,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Robinia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Rodiola,NA,NA,NA,NA,NA,NA
ncbi,Rosa,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Rumex,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ruppia,Cymodoceaceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Salvia,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sarracenia,Sarraceniaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Saruma,Asaraceae,Piperales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Satureja,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Saxifraga,Saxifragaceae,Saxifragales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Scaevola,Goodeniaceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sclerotinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,NA
ncbi,Scolopia,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Scrophularia,Scrophulariaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Selinum,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Senecio,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Setaria,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Silphium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sinapis,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sisymbrium,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sisyrinchium,Iridaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Solidago,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sorbus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Spartina,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Spiraea,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Staphylea,Staphyleaceae,Crossosomatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Streptanthus,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
