"db","query","kingdom","division","class","order","family","phylum"
"itis","Echinochloa","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Echinocystis","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA
"itis","Elaeagnus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae",NA
"itis","Emblica",NA,NA,NA,NA,NA,NA
"itis","Ephedra","Plantae","Tracheophyta","Gnetopsida","Ephedrales","Ephedraceae",NA
"itis","Epidemium",NA,NA,NA,NA,NA,NA
"itis","Erechtites","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Eremochloa","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Eriobotrya","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Eryngium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Eucalyptis",NA,NA,NA,NA,NA,NA
"itis","Eucalyptus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae",NA
"itis","Eucomis",NA,NA,NA,NA,NA,NA
"itis","Euphorbia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae",NA
"itis","Eustoma","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae",NA
"itis","Fagus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae",NA
"itis","Ferula","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Festuca","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Fraxinus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae",NA
"itis","Galax","Plantae","Tracheophyta","Magnoliopsida","Ericales","Diapensiaceae",NA
"itis","Gaura",NA,NA,NA,NA,NA,NA
"itis","Gentiana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae",NA
"itis","Geranium","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae",NA
"itis","Ginkgo","Plantae","Tracheophyta","Ginkgoopsida","Ginkgoales","Ginkgoaceae",NA
"itis","Glehnia","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Glyceria","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Glycine","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Gomphrena","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae",NA
"itis","Gossypium","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae",NA
"itis","Grindelia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Gunnera","Plantae","Tracheophyta","Magnoliopsida","Gunnerales","Gunneraceae",NA
"itis","Gymnostemma",NA,NA,NA,NA,NA,NA
"itis","Gynostemma",NA,NA,NA,NA,NA,NA
"itis","Halophila","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Hydrocharitaceae",NA
"itis","Heliopsis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Heracleum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Hibiscus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae",NA
"itis","Hippophae","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae",NA
"itis","Hladnikia",NA,NA,NA,NA,NA,NA
"itis","Hovenia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae",NA
"itis","Hymenocrater",NA,NA,NA,NA,NA,NA
"itis","Hypericum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae",NA
"itis","Idesia",NA,NA,NA,NA,NA,NA
"itis","Ilex","Plantae","Tracheophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae",NA
"itis","Imperata","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Iphigenia","Animalia",NA,"Bivalvia","Veneroida","Donacidae","Mollusca"
"itis","Iris",NA,NA,NA,NA,NA,NA
"itis","Iva","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Jasminus",NA,NA,NA,NA,NA,NA
"itis","Jatropha","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae",NA
"itis","Juglans","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae",NA
"itis","Juncus","Plantae","Tracheophyta","Magnoliopsida","Poales","Juncaceae",NA
"itis","Juniperus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae",NA
"itis","Kalopanax","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae",NA
"itis","Kelussia",NA,NA,NA,NA,NA,NA
"itis","Keteleeria","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae",NA
"itis","Koelreuteria","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae",NA
"itis","Leontice",NA,NA,NA,NA,NA,NA
"itis","Lepidium","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Lepyrodidis",NA,NA,NA,NA,NA,NA
"itis","Leymus","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Lilium","Plantae","Tracheophyta","Magnoliopsida","Liliales","Liliaceae",NA
