"'89.79492188","'89.30664063","'90.28320313","'91.16210938",
"'92.28515625","'91.79687500","'92.77343750","'93.70117188",
"'91.60156250","'91.16210938","'92.13867188","'93.06640625",
"'89.45312500","'89.01367188","'89.94140625","'90.82031250",
"'91.65039063","'91.21093750","'92.18750000","'93.11523438",
"'90.23437500","'89.79492188","'90.72265625","'91.65039063",
"'90.13671875","'89.69726563","'90.67382813","'91.55273438",
"'89.11132813","'88.67187500","'89.59960938","'90.47851563",
"'89.94140625","'89.50195313","'90.47851563","'91.35742188",
"'90.52734375","'90.08789063","'91.01562500","'91.94335938",
"'91.25976563","'90.77148438","'91.74804688","'92.67578125",
"'92.04101563","'91.60156250","'92.57812500","'93.50585938",
"'88.42773438","'87.98828125","'88.91601563","'89.84375000",
"'90.77148438","'90.33203125","'91.25976563","'92.18750000",
"'95.11718750","'94.62890625","'95.65429688","'96.63085938",
