Baskin Dormancy Database : Species Level Data,,,,,
,,,,,
1,Original Genus,Corrected Genus,Genus_species,Family,Dormancy Class
121,Skiatophyllum,Skiatophytum,Skiatophyllum_tripolium,Aizoaceae,PD
122,Sphalmanthus,Phyllobolus,Sphalmanthus_brevifolius,Aizoaceae,PD
123,Tetragonia,Tetragonia,Tetragonia_arbuscula,Aizoaceae,PD
124,Tetragonia,Tetragonia,Tetragonia_echinata,Aizoaceae,PD
125,Tetragonia,Tetragonia,Tetragonia_microptera,Aizoaceae,PD
126,Alisma,Alisma,Alisma_gramineum,Alismataceae,PD
127,Alisma,Alisma,Alisma_lanceolatum,Alismataceae,PD
128,Alisma,Alisma,Alisma_plantago-aquatica,Alismataceae,ND
129,Alisma,Alisma,Alisma_plantago-aquatica,Alismataceae,PD
130,Alisma,Alisma,Alisma_subcordata,Alismataceae,PD
131,Baldellia,Baldellia,Baldellia_ranunculoides,Alismataceae,ND
132,Echinodorus,Echinodorus,Echinodorus_rostratus,Alismataceae,PD
133,Sagittaria,Sagittaria,Sagittaria_brevirostra,Alismataceae,PD
134,Sagittaria,Sagittaria,Sagittaria_calycina,Alismataceae,PD
135,Sagittaria,Sagittaria,Sagittaria_graminae,Alismataceae,PD
136,Sagittaria,Sagittaria,Sagittaria_lancifolia,Alismataceae,PD
137,Sagittaria,Sagittaria,Sagittaria_latifolia,Alismataceae,PD
138,Wiesneria,Wiesneria,Wiesneria_triandra,Alismataceae,PD
139,Alseuosmia,Alseuosmia,Alseuosmia_macrophylla,Alseuosmiaceae,PD
140,Alseuosmia,Alseuosmia,Alseuosmia_pusila,Alseuosmiaceae,PD
141,Alseuosmia,Alseuosmia,Alseuosmia_quercifolia,Alseuosmiaceae,PD
142,Alstroemeria,Alstroemeria,Alstroemeria_ligtu,Alstroemeriaceae,MPD
143,Alstroemeria,Alstroemeria,Alstroemeria_pseudospathulata,Alstroemeriaceae,MPD
144,Bomarea,Bomarea,Bomarea_salsilla,Alstroemeriaceae,MPD
145,Bomarea,Bomarea,Bomarea_sp.,Alstroemeriaceae,PD
146,Luzuriaga,Luzuriaga,Luzuriaga_polyphylla,Alstroemeriaceae,MPD
147,Luzuriaga,Luzuriaga,Luzuriaga_radicans,Alstroemeriaceae,MPD
148,Altingia,Altingia,Altingia_chinensis,Altingiaceae,ND
149,Altingia,Altingia,Altingia_excelsa,Altingiaceae,ND
150,Altingia,Altingia,Altingia_excelsa,Altingiaceae,PD
151,Altingia,Altingia,Altingia_excelsa,Altingiaceae,PD
152,Liquidambar,Liquidambar,Liquidambar_styraciflua,Altingiaceae,ND
153,Liquidambar,Liquidambar,Liquidambar_styraciflua,Altingiaceae,PD
154,Liquidambar,Liquidambar,Liquidambar_styraciflua,Altingiaceae,PD
155,Achrysanthes,Achyranthes,Achrysanthes_splendens,Amaranthaceae,ND
156,Achyranthes,Achyranthes,Achyranthes_aspera,Amaranthaceae,ND
157,Achyranthes,Achyranthes,Achyranthes_aspera,Amaranthaceae,PD
158,Achyranthes,Achyranthes,Achyranthes_aspera,Amaranthaceae,PD
159,Achyranthes,Achyranthes,Achyranthes_fauriei,Amaranthaceae,ND
160,Acroglochin,Acroglochin,Acroglochin_persicarioides,Amaranthaceae,PD
161,Aerva,Aerva,Aerva_persica,Amaranthaceae,PD
162,Aerva,Aerva,Aerva_pseudotomentosa,Amaranthaceae,PD
163,Agriophyllum,Agriophyllum,Agriophyllum_squarrosum,Amaranthaceae,ND
164,Agriophyllum,Agriophyllum,Agriophyllum_squarrosum,Amaranthaceae,ND
165,Agriophyllum,Agriophyllum,Agriophyllum_squarrosum,Amaranthaceae,PD
166,Allenrolfea,Allenrolfea,Allenrolfea_occidentalis,Amaranthaceae,PD
167,Allenrolfea,Allenrolfea,Allenrolfea_occidentalis,Amaranthaceae,PD
168,Alternanthera,Alternanthera,Alternanthera_nodiflora,Amaranthaceae,PD
169,Alternanthera,Alternanthera,Alternanthera_sessilis,Amaranthaceae,PD
170,Amaranthus,Amaranthus,Amaranthus_albus,Amaranthaceae,PD
171,Amaranthus,Amaranthus,Amaranthus_cannabinus,Amaranthaceae,PD
172,Amaranthus,Amaranthus,Amaranthus_caudatus,Amaranthaceae,PD
173,Amaranthus,Amaranthus,Amaranthus_deflexus,Amaranthaceae,PD
174,Amaranthus,Amaranthus,Amaranthus_dubius,Amaranthaceae,PD
175,Amaranthus,Amaranthus,Amaranthus_graecizans,Amaranthaceae,PD
176,Amaranthus,Amaranthus,Amaranthus_greggii,Amaranthaceae,ND
177,Amaranthus,Amaranthus,Amaranthus_hybridus,Amaranthaceae,PD
178,Amaranthus,Amaranthus,Amaranthus_hybridusk,Amaranthaceae,PD
179,Amaranthus,Amaranthus,Amaranthus_lividus,Amaranthaceae,PD
180,Amaranthus,Amaranthus,Amaranthus_lividus,Amaranthaceae,PD
181,Amaranthus,Amaranthus,Amaranthus_powellii,Amaranthaceae,PD
182,Amaranthus,Amaranthus,Amaranthus_pumilus,Amaranthaceae,PD
183,Amaranthus,Amaranthus,Amaranthus_pumilus,Amaranthaceae,PD
184,Amaranthus,Amaranthus,Amaranthus_retroflexus,Amaranthaceae,PD
185,Amaranthus,Amaranthus,Amaranthus_tuberculatus,Amaranthaceae,PD
186,Atriplex,Atriplex,Atriplex_amnicola,Amaranthaceae,PD
187,Atriplex,Atriplex,Atriplex_arenaria,Amaranthaceae,PD
188,Atriplex,Atriplex,Atriplex_bunburyana,Amaranthaceae,ND
189,Atriplex,Atriplex,Atriplex_canescens,Amaranthaceae,PD
190,Atriplex,Atriplex,Atriplex_canescens,Amaranthaceae,PD
191,Atriplex,Atriplex,Atriplex_canescens,Amaranthaceae,PD
192,Atriplex,Atriplex,Atriplex_capensis,Amaranthaceae,PD
193,Atriplex,Atriplex,Atriplex_centralasiatica,Amaranthaceae,PD
194,Atriplex,Atriplex,Atriplex_centralasiatica,Amaranthaceae,PD
195,Atriplex,Atriplex,Atriplex_confertifolia,Amaranthaceae,PD
196,Atriplex,Atriplex,Atriplex_cordobensis,Amaranthaceae,PD
197,Atriplex,Atriplex,Atriplex_cordobensis,Amaranthaceae,PD
198,Atriplex,Atriplex,Atriplex_dimorphostegia,Amaranthaceae,PD
199,Atriplex,Atriplex,Atriplex_dimorphostegia,Amaranthaceae,PD
200,Atriplex,Atriplex,Atriplex_gardneri,Amaranthaceae,PD
201,Atriplex,Atriplex,Atriplex_glabriuscula,Amaranthaceae,PD
202,Atriplex,Atriplex,Atriplex_gmelinii,Amaranthaceae,PD
203,Atriplex,Atriplex,Atriplex_griffithii,Amaranthaceae,PD
204,Atriplex,Atriplex,Atriplex_halimus,Amaranthaceae,PD
205,Atriplex,Atriplex,Atriplex_hastata,Amaranthaceae,PD
206,Atriplex,Atriplex,Atriplex_inflata,Amaranthaceae,PD
207,Atriplex,Atriplex,Atriplex_laciniata,Amaranthaceae,PD
208,Atriplex,Atriplex,Atriplex_lampa,Amaranthaceae,PD
209,Atriplex,Atriplex,Atriplex_lampa,Amaranthaceae,PD
210,Atriplex,Atriplex,Atriplex_lentiformis,Amaranthaceae,PD
211,Atriplex,Atriplex,Atriplex_leucophylla,Amaranthaceae,PD
212,Atriplex,Atriplex,Atriplex_muelleri,Amaranthaceae,PD
213,Atriplex,Atriplex,Atriplex_nummularia,Amaranthaceae,PD
214,Atriplex,Atriplex,Atriplex_nummularia,Amaranthaceae,PD
215,Atriplex,Atriplex,Atriplex_nummularia,Amaranthaceae,PD
216,Atriplex,Atriplex,Atriplex_obovata,Amaranthaceae,PD
217,Atriplex,Atriplex,Atriplex_obovata,Amaranthaceae,PD
218,Atriplex,Atriplex,Atriplex_patens,Amaranthaceae,PD
219,Atriplex,Atriplex,Atriplex_patula,Amaranthaceae,PD
220,Atriplex,Atriplex,Atriplex_patula,Amaranthaceae,PD
221,Atriplex,Atriplex,Atriplex_patula,Amaranthaceae,PD
222,Atriplex,Atriplex,Atriplex_polycarpa,Amaranthaceae,ND
223,Atriplex,Atriplex,Atriplex_polycarpa,Amaranthaceae,PD
224,Atriplex,Atriplex,Atriplex_polycarpa,Amaranthaceae,PD
225,Atriplex,Atriplex,Atriplex_prostrata,Amaranthaceae,PD
226,Atriplex,Atriplex,Atriplex_repanda,Amaranthaceae,PD
227,Atriplex,Atriplex,Atriplex_sagittata,Amaranthaceae,PD
228,Atriplex,Atriplex,Atriplex_semibaccata,Amaranthaceae,PD
229,Atriplex,Atriplex,Atriplex_sibirica,Amaranthaceae,PD
230,Atriplex,Atriplex,Atriplex_spongiosa,Amaranthaceae,PD
231,Atriplex,Atriplex,Atriplex_undulata,Amaranthaceae,PD
232,Atriplex,Atriplex,Atriplex_vesicaria,Amaranthaceae,PD
233,Axyris,Axyris,Axyris_amaranthoides,Amaranthaceae,PD
234,Axyris,Axyris,Axyris_amaranthoides,Amaranthaceae,PD
235,Axyris,Axyris,Axyris_hybrida,Amaranthaceae,PD
236,Axyris,Axyris,Axyris_prostrata,Amaranthaceae,PD
237,Bassia,Bassia,Bassia_birchii,Amaranthaceae,PD
238,Bassia,Bassia,Bassia_dasyphylla,Amaranthaceae,PD
239,Bassia,Bassia,Bassia_latifolia,Amaranthaceae,ND
240,Bassia,Bassia,Bassia_longifolia,Amaranthaceae,ND
241,Botydium,Botydium,Botydium_schraderi,Amaranthaceae,PD
242,Ceratocarpus,Ceratocarpus,Ceratocarpus_arenarius,Amaranthaceae,PD
243,Ceratoides,Ceratoides,Ceratoides_arborescens,Amaranthaceae,PD
244,Ceratoides,Ceratoides,Ceratoides_lanata,Amaranthaceae,ND
245,Ceratoides,Ceratoides,Ceratoides_lanata,Amaranthaceae,PD
246,Ceratoides,Ceratoides,Ceratoides_lanata,Amaranthaceae,PD
247,Ceratoides,Ceratoides,Ceratoides_lanata,Amaranthaceae,PD
248,Ceratoides,Ceratoides,Ceratoides_latens,Amaranthaceae,PD
249,Chamissoa,Chamissoa,Chamissoa_altissima,Amaranthaceae,PD
250,Charpentiera,Charpentiera,Charpentiera_obovata,Amaranthaceae,PD
251,Charpentiera,Charpentiera,Charpentiera_ovata,Amaranthaceae,PD
252,Charpentiera,Charpentiera,Charpentiera_tomentosa,Amaranthaceae,PD
253,Chenopodium,Chenopodium,Chenopodium_acuminatum,Amaranthaceae,PD
254,Chenopodium,Chenopodium,Chenopodium_album,Amaranthaceae,PD
255,Chenopodium,Chenopodium,Chenopodium_ambroisoides,Amaranthaceae,PD
256,Chenopodium,Chenopodium,Chenopodium_aristatum,Amaranthaceae,PD
257,Chenopodium,Chenopodium,Chenopodium_bonus-henricus,Amaranthaceae,PD
258,Chenopodium,Chenopodium,Chenopodium_botyrs,Amaranthaceae,PD
259,Chenopodium,Chenopodium,Chenopodium_glaucum,Amaranthaceae,PD
260,Chenopodium,Chenopodium,Chenopodium_glaucum,Amaranthaceae,PD
261,Chenopodium,Chenopodium,Chenopodium_humile,Amaranthaceae,PD
262,Chenopodium,Chenopodium,Chenopodium_iljinii,Amaranthaceae,PD
263,Chenopodium,Chenopodium,Chenopodium_oahuense,Amaranthaceae,ND
264,Chenopodium,Chenopodium,Chenopodium_oahuense,Amaranthaceae,PD
265,Chenopodium,Chenopodium,Chenopodium_polyspermum,Amaranthaceae,PD
266,Chenopodium,Chenopodium,Chenopodium_rubrum,Amaranthaceae,PD
267,Chenopodium,Chenopodium,Chenopodium_rubrum,Amaranthaceae,PD
268,Chenopodium,Chenopodium,Chenopodium_sanctae-clarae,Amaranthaceae,PD
269,Coriospermum,Corispermum,Coriospermum_villosum,Amaranthaceae,PD
270,Corispermum,Corispermum,Corispermum_hyssopifolium,Amaranthaceae,PD
271,Corispermum,Corispermum,Corispermum_tibeticum,Amaranthaceae,PD
272,Digera,Digera,Digera_muricata,Amaranthaceae,PD
273,Enchylaena,Enchylaena,Enchylaena_tomentosa,Amaranthaceae,PD
274,Enchylaena,Enchylaena,Enchylaena_tomentosa,Amaranthaceae,PD
275,Gomphrena,Gomphrena,Gomphrena_canescens,Amaranthaceae,PD
276,Gomphrena,Gomphrena,Gomphrena_celosioides,Amaranthaceae,PD
277,Grayia,Grayia,Grayia_brandegei,Amaranthaceae,PD
278,Grayia,Grayia,Grayia_spinosa,Amaranthaceae,PD
279,Grayia,Grayia,Grayia_spinosa,Amaranthaceae,PD
280,Grayia,Grayia,Grayia_spinosa,Amaranthaceae,PD
281,Halocnemum,Halocnemum,Halocnemum_strobilaceum,Amaranthaceae,ND
282,Halocnemum,Halocnemum,Halocnemum_strobilaceum,Amaranthaceae,ND
283,Halogeton,Halogeton,Halogeton_glomeratus,Amaranthaceae,ND
284,Halopeplis,Halopeplis,Halopeplis_amplexicaulis,Amaranthaceae,ND
285,Halopeplis,Halopeplis,Halopeplis_amplexicaulis,Amaranthaceae,PD
286,Halopeplis,Halopeplis,Halopeplis_perfoliata,Amaranthaceae,ND
287,Halopeplis,Halopeplis,Halopeplis_perfoliata,Amaranthaceae,PD
288,Halosarcia,Halosarcia,Halosarcia_halocnemoides,Amaranthaceae,PD
289,Halosarcia,Halosarcia,Halosarcia_pergranulata,Amaranthaceae,PD
290,Haloxylon,Haloxylon,Haloxylon_ammodendron,Amaranthaceae,ND
291,Haloxylon,Haloxylon,Haloxylon_ammodendron,Amaranthaceae,ND
292,Haloxylon,Haloxylon,Haloxylon_articulatum,Amaranthaceae,PD
293,Haloxylon,Haloxylon,Haloxylon_persicum,Amaranthaceae,ND
294,Haloxylon,Haloxylon,Haloxylon_persicum,Amaranthaceae,ND
295,Haloxylon,Haloxylon,Haloxylon_recurvum,Amaranthaceae,PD
296,Haloxylon,Haloxylon,Haloxylon_salicornicum,Amaranthaceae,ND
297,Haloxylon,Haloxylon,Haloxylon_salicornicum,Amaranthaceae,PD
298,Hammada,Hammada,Hammada_salicornia,Amaranthaceae,PD
299,Hammada,Hammada,Hammada_salicornia,Amaranthaceae,PD
300,Kalidium,Kalidium,Kalidium_cuspidatum,Amaranthaceae,ND
301,Kalidium,Kalidium,Kalidium_foliatum,Amaranthaceae,PD
302,Kochia,Kochia,Kochia_americana,Amaranthaceae,PD
303,Kochia,Kochia,Kochia_littorea,Amaranthaceae,PD
304,Kochia,Kochia,Kochia_prostrata,Amaranthaceae,PD
305,Kochia,Kochia,Kochia_scoparia,Amaranthaceae,ND
306,Kochia,Kochia,Kochia_scoparia,Amaranthaceae,PD
307,Kochia,Kochia,Kochia_sieversiana,Amaranthaceae,PD
308,Maireana,Maireana,Maireana_carnosa,Amaranthaceae,PD
309,Maireana,Maireana,Maireana_scleroptera,Amaranthaceae,PD
310,Microcnemum,Microcnemum,Microcnemum_coralloides,Amaranthaceae,PD
311,Notorichium,Nototrichium,Notorichium_humile,Amaranthaceae,PD
312,Notorichium,Nototrichium,Notorichium_sandwicense,Amaranthaceae,PD
313,Ptilotus,Ptilotus,Ptilotus_drummondii,Amaranthaceae,PD
314,Ptilotus,Ptilotus,Ptilotus_exaltatus,Amaranthaceae,PD
315,Ptilotus,Ptilotus,Ptilotus_macrocephalus,Amaranthaceae,PD
316,Ptilotus,Ptilotus,Ptilotus_polystachys,Amaranthaceae,PD
317,Rhagodia,Rhagodia,Rhagodia_baccata,Amaranthaceae,ND
318,Rhagodia,Rhagodia,Rhagodia_baccata,Amaranthaceae,PD
319,Rhagodia,Rhagodia,Rhagodia_crassifolia,Amaranthaceae,PD
320,Salicornia,Salicornia,Salicornia_bigelovii,Amaranthaceae,PD
321,Salicornia,Salicornia,Salicornia_brachystachya,Amaranthaceae,PD
322,Salicornia,Salicornia,Salicornia_dolichostachya,Amaranthaceae,PD
323,Salicornia,Salicornia,Salicornia_emerici,Amaranthaceae,PD
324,Salicornia,Salicornia,Salicornia_europaea,Amaranthaceae,ND
325,Salicornia,Salicornia,Salicornia_europaea,Amaranthaceae,PD
326,Salicornia,Salicornia,Salicornia_fruticosa,Amaranthaceae,PD
327,Salicornia,Salicornia,Salicornia_pacifica,Amaranthaceae,PD
328,Salicornia,Salicornia,Salicornia_patula,Amaranthaceae,PD
329,Salsola,Salsola,Salsola_affinis,Amaranthaceae,PD
330,Salsola,Salsola,Salsola_affinis,Amaranthaceae,PD
331,Salsola,Salsola,Salsola_baryosma,Amaranthaceae,PD
332,Salsola,Salsola,Salsola_bracchita,Amaranthaceae,PD
333,Salsola,Salsola,Salsola_collina,Amaranthaceae,ND
334,Salsola,Salsola,Salsola_collina,Amaranthaceae,PD
335,Salsola,Salsola,Salsola_glabrescens,Amaranthaceae,ND
336,Salsola,Salsola,Salsola_kali,Amaranthaceae,ND
337,Salsola,Salsola,Salsola_kali,Amaranthaceae,PD
338,Salsola,Salsola,Salsola_kali,Amaranthaceae,PD
339,Salsola,Salsola,Salsola_kali,Amaranthaceae,PD
340,Salsola,Salsola,Salsola_ruthenica,Amaranthaceae,ND
341,Salsola,Salsola,Salsola_ruthenica,Amaranthaceae,PD
342,Salsola,Salsola,Salsola_tragus,Amaranthaceae,ND
343,Salsola,Salsola,Salsola_vermiculata,Amaranthaceae,ND
344,Salsola,Salsola,Salsola_vermiculata,Amaranthaceae,ND
345,Salsola,Salsola,Salsola_vermiculata,Amaranthaceae,PD
346,Salsola,Salsola,Salsola_villosa,Amaranthaceae,PD
347,Salsola,Salsola,Salsola_volkensii,Amaranthaceae,PD
348,Sclerolaena,Sclerolaena,Sclerolaena_bicornis,Amaranthaceae,PD
349,Sclerolaena,Sclerolaena,Sclerolaena_cornishiana,Amaranthaceae,PD
350,Suaeda,Suaeda,Suaeda_aralocaspica,Amaranthaceae,ND
351,Suaeda,Suaeda,Suaeda_aralocaspica,Amaranthaceae,PD
352,Suaeda,Suaeda,Suaeda_californica,Amaranthaceae,PD
353,Suaeda,Suaeda,Suaeda_depressa,Amaranthaceae,PD
354,Suaeda,Suaeda,Suaeda_fruticosa,Amaranthaceae,PD
355,Suaeda,Suaeda,Suaeda_glauca,Amaranthaceae,PD
356,Suaeda,Suaeda,Suaeda_imbricata,Amaranthaceae,PD
357,Suaeda,Suaeda,Suaeda_linearis,Amaranthaceae,PD
358,Suaeda,Suaeda,Suaeda_maritima,Amaranthaceae,PD
359,Suaeda,Suaeda,Suaeda_salsa,Amaranthaceae,PD
360,Suaeda,Suaeda,Suaeda_salsa (black),Amaranthaceae,PD
361,Tecticornia,Tecticornia,Tecticornia_verrucosa,Amaranthaceae,PD
362,Threlkeldia,Threlkeldia,Threlkeldia_diffusa,Amaranthaceae,PD
363,Toloxys,Teloxys,Toloxys_aristata,Amaranthaceae,PD
364,Allium,Allium,Allium_aaeae,Amaryllidaceae,PD
365,Allium,Allium,Allium_aflatunense,Amaryllidaceae,PD
